amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
1.0,-90.0,110.68017134394803,45.7796974556731,78.13483501834745,131.78389522928288,179.9847097992888,99.70034246575342,71.71850547730828,288,False,False
1.0,-92.5,111.40343013921537,45.90288341933614,78.0944235437662,132.06802300131588,179.97827775736943,99.70985540334856,71.73779560076508,288,False,False
0.975,-90.0,111.63918092452785,45.85671263320088,78.16368058042698,131.91687213041584,179.90254999515457,99.6908295281583,71.75492771443476,288,False,False
1.025,-90.0,111.8083929201315,45.746793321809655,78.73463795031958,131.78589495901107,179.79479363261976,99.70509893455099,71.75735741610156,288,False,False
1.0,-87.5,111.86521514149432,45.736180730776184,79.23617019344174,131.20584171269428,179.96523614106843,99.68607305936072,71.71687532603025,288,False,False
1.025,-92.5,112.03820162333913,45.89437996482401,77.7001529139363,132.23173421811367,179.93243196001742,99.71936834094369,71.66063510693793,288,False,False
0.975,-87.5,112.51429330019269,45.82233642235205,78.67553556770807,131.59457994648025,179.9394993879402,99.6908295281583,71.76958355068683,288,False,False
1.0,-95.0,112.5830969094748,46.15849083734059,78.67385382103447,132.44132483866065,179.8004530983319,99.70034246575342,71.72067901234567,288,False,False
0.975,-92.5,112.77084686962078,45.97348216511893,78.8694560925032,132.17162201509913,179.96487477115056,99.68131659056317,71.81251863030032,288,False,False
1.05,-90.0,113.01606221042732,45.754577474521,79.35546730226267,131.99856997065075,179.8910372829048,99.6908295281583,71.6609067988176,288,False,False
1.025,-87.5,113.02624793575596,45.716031281767854,79.81912506507481,131.28902664072055,179.9870750022514,99.69558599695586,71.71660363415059,288,False,False
1.0,-97.5,113.12757306740527,46.560194579581484,77.82536688711822,133.0198782688978,179.71901365150302,99.68131659056317,71.77854938271605,288,False,False
0.95,-90.0,113.16684132569425,45.984190476717494,79.04968318061306,132.09598752414348,179.98898623950325,99.70034246575342,71.75464825992995,288,False,False
1.05,-92.5,113.20986519628596,45.88713404122902,78.3514970316376,132.3118908109875,179.8283562579175,99.71936834094369,71.70138888888889,288,False,False
1.0,-85.0,113.21671161525997,45.83847706942371,80.37491779530232,131.03441113086672,179.915493886097,99.69558599695586,71.67829507911668,288,False,False
1.025,-95.0,113.3150558899588,46.16877981605363,78.40410303770246,132.66405529297273,179.91755904506027,99.7431506849315,71.73996913580247,288,False,False
0.975,-95.0,113.38209183205781,46.23650343057722,78.37072143564205,132.58502673769053,179.91596505026675,99.68131659056317,71.77854938271605,288,False,False
0.95,-87.5,113.59601476515138,45.97613709725015,78.70620959245367,131.69990355747777,179.91832104062172,99.6908295281583,71.65847709715081,288,False,False
1.0,-100.0,113.73020172053697,47.00250324688426,76.98139644694123,133.89919585651126,179.92249592893893,99.6622907153729,72.02769083637628,288,False,False
1.05,-95.0,113.76753233099761,46.13982815904413,77.75507770766136,132.672612868571,179.8789781973992,99.73363774733637,71.6820987654321,288,False,False
0.975,-85.0,113.8507987452413,45.88879309090981,79.82682569668421,131.05225960619632,179.99514155327518,99.68607305936072,71.71796209354895,288,False,False
0.95,-92.5,113.85460918074683,46.11845391619233,78.94844745385994,132.23788890955765,179.97016532356702,99.6908295281583,71.89022250788682,288,False,False
0.975,-97.5,113.90889272830648,46.60985932844479,77.51178217384636,132.87631723157548,179.97137029531484,99.6622907153729,71.83641975308643,288,False,False
1.025,-97.5,114.11664516485358,46.477410653534854,78.14765762843348,132.98312574103113,179.97651237977527,99.6908295281583,71.72067901234567,288,False,False
1.05,-87.5,114.14558637798565,45.74330746309106,80.33655416195054,131.73179445098737,179.7504085253346,99.6622907153729,71.73018822813424,288,False,False
1.025,-85.0,114.1700260834158,45.858192546033436,80.51158439289591,131.06947674406814,179.90491026211333,99.72412480974124,71.66036341505826,288,False,False
1.075,-90.0,114.17986944409695,45.7606462224158,79.98644155196052,132.06272075791608,179.8517758709679,99.67180365296804,71.6820987654321,288,False,False
1.0,-82.5,114.20036684201203,46.017017190769224,80.67847924601749,130.15800306682044,179.95972319643636,99.70034246575342,71.59980717639169,288,False,False
0.95,-95.0,114.22942606934265,46.36596284709962,78.07683583343858,132.69607395187182,179.75602826965587,99.65277777777777,71.81631455399061,288,False,False
0.925,-90.0,114.40797110557422,46.17597047420971,79.26749416382418,132.1000327497211,179.96533445584436,99.70034246575342,71.6962267431751,288,False,False
1.075,-92.5,114.42292691764895,45.88974770034557,79.02615344936748,132.44225741108917,179.86579548165935,99.69558599695586,71.52777777777777,288,False,False
1.0,-102.5,114.50561094224047,47.64362247557543,76.14075947263221,135.23035264467424,179.94381980218114,99.70985540334856,72.33687619544428,288,False,False
0.975,-100.0,114.5370194018905,47.10613280167593,76.65559498830498,133.94668476015025,179.96192539074184,99.6622907153729,72.04752434359243,288,False,False
0.95,-85.0,114.59080193040991,46.01851129600649,79.30117919105244,130.87352774430497,179.96916285499424,99.68607305936072,71.71769040166927,288,False,False
1.025,-100.0,114.6750829880471,46.891815502285915,77.31629894423055,133.68455915218917,179.93575633209116,99.67180365296804,71.90896924758427,288,False,False
0.95,-97.5,114.72343189597663,46.74530533554148,77.20803087795765,133.09141215809908,179.51716926307262,99.61948249619483,71.85462310902452,288,False,False
1.075,-95.0,114.81784726078244,46.15955950987119,78.12898451362027,132.7842356015751,179.9085081678503,99.73363774733637,71.64351851851852,288,False,False
0.925,-92.5,114.84068131788167,46.31980489123503,78.67236634793369,132.48143972062843,179.95764685017753,99.71461187214612,71.7750406761557,288,False,False
1.075,-87.5,114.95858667133531,45.77346628047929,80.22843772367045,131.79740972805655,179.86854451844601,99.66704718417047,71.62422839506172,288,False,False
1.05,-85.0,114.97656161031843,45.87338036580181,80.40403241319264,131.19098837410914,179.96408963575345,99.67656012176559,71.59871264624786,288,False,False
1.025,-82.5,114.99411247949169,46.01296312205887,80.57173989117078,130.3805092322817,179.96387475401178,99.67656012176559,71.61881784534367,288,False,False
