freq_ghz,phi_deg,theta_deg,linear_pol_deg,amp_b,phase_b_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,170.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,85.783422,445.783422,-11.507196,-19.698809,True
7.738000,45.000000,175.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,132.198721,492.198721,-13.116554,-18.655794,True
7.738000,45.000000,180.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,171.177323,531.177323,-15.315310,-16.183719,True
7.738000,45.000000,185.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-152.566649,567.433351,-18.086673,-13.878037,True
7.738000,45.000000,190.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-108.110171,611.889829,-20.642894,-12.155060,True
7.738000,45.000000,195.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-56.876803,663.123197,-20.447968,-11.020712,True
7.738000,45.000000,200.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-19.514125,700.485875,-17.809991,-10.412635,True
7.738000,45.000000,205.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,3.648885,723.648885,-15.116054,-10.263902,True
7.738000,45.000000,210.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,19.073648,739.073648,-12.943477,-10.510853,True
7.738000,45.000000,215.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,29.839731,749.839731,-11.262638,-11.092268,True
7.738000,45.000000,220.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,37.140010,757.140010,-9.991016,-11.946260,True
7.738000,45.000000,225.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,41.306382,761.306382,-9.061613,-13.001772,True
7.738000,45.000000,230.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,42.185037,762.185037,-8.420974,-14.156981,True
7.738000,45.000000,235.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,39.424189,759.424189,-8.023088,-15.237823,True
7.738000,45.000000,240.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,33.110400,753.110400,-7.825619,-15.962707,True
7.738000,45.000000,245.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,24.745618,744.745618,-7.787588,-16.026924,True
7.738000,45.000000,250.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,17.127591,737.127591,-7.867386,-15.351347,True
7.738000,45.000000,255.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,12.423590,732.423590,-8.020580,-14.158752,True
7.738000,45.000000,260.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,11.124707,731.124707,-8.197664,-12.738406,True
7.738000,45.000000,265.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,12.746987,732.746987,-8.342863,-11.274863,True
7.738000,45.000000,270.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,16.581413,736.581413,-8.396198,-9.850549,True
7.738000,45.000000,275.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,21.933988,741.933988,-8.301270,-8.493691,True
7.738000,45.000000,280.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,28.147776,748.147776,-8.018486,-7.211161,True
7.738000,45.000000,285.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,34.629880,754.629880,-7.537916,-6.004473,True
7.738000,45.000000,290.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,40.924549,760.924549,-6.883209,-4.876461,True
7.738000,45.000000,295.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,46.778373,766.778373,-6.103664,-3.833536,True
7.738000,45.000000,300.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,52.147978,772.147978,-5.260327,-2.885954,True
7.738000,45.000000,305.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,57.155562,777.155562,-4.413862,-2.047254,True
7.738000,45.000000,310.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,62.029696,782.029696,-3.617347,-1.333374,True
7.738000,45.000000,315.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,67.061170,787.061170,-2.913008,-0.761573,True
7.738000,45.000000,320.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,72.582945,792.582945,-2.331089,-0.348980,True
7.738000,45.000000,325.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,78.968956,798.968956,-1.889765,-0.110405,True
7.738000,45.000000,330.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,86.640570,806.640570,-1.595598,-0.054744,True
7.738000,45.000000,335.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,96.066580,816.066580,-1.443931,-0.179284,True
7.738000,45.000000,340.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,107.736433,827.736433,-1.418127,-0.461539,True
7.738000,45.000000,345.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,122.073216,842.073216,-1.486455,-0.850316,True
7.738000,45.000000,350.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,139.246758,859.246758,-1.597229,-1.262788,True
7.738000,45.000000,355.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,158.901593,878.901593,-1.678058,-1.600248,True
7.738000,45.000000,360.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.975049,899.975049,-1.650907,-1.788123,True
7.738000,45.000000,0.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.443661,179.443661,-0.491966,-0.310199,True
7.738000,45.000000,5.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-163.178973,196.821027,-0.698644,-0.101855,True
7.738000,45.000000,10.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-146.173418,213.826582,-0.844629,0.000000,True
7.738000,45.000000,15.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-130.049428,229.950572,-0.879603,-0.055493,True
7.738000,45.000000,20.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-115.405673,244.594327,-0.804057,-0.297590,True
7.738000,45.000000,25.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-102.705070,257.294930,-0.668411,-0.739369,True
7.738000,45.000000,30.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-92.122075,267.877925,-0.544678,-1.382615,True
7.738000,45.000000,35.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-83.563175,276.436825,-0.496967,-2.221400,True
7.738000,45.000000,40.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-76.780617,283.219383,-0.568126,-3.244702,True
7.738000,45.000000,45.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-71.483215,288.516785,-0.780138,-4.438122,True
7.738000,45.000000,50.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-67.411950,292.588050,-1.139689,-5.784382,True
7.738000,45.000000,55.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-64.384881,295.615119,-1.643639,-7.262209,True
7.738000,45.000000,60.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-62.319788,297.680212,-2.282821,-8.843467,True
7.738000,45.000000,65.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-61.236424,298.763576,-3.044298,-10.488833,True
7.738000,45.000000,70.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-61.232773,298.767227,-3.912575,-12.142941,True
7.738000,45.000000,75.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-62.424473,297.575527,-4.870069,-13.731452,True
7.738000,45.000000,80.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-64.843879,295.156121,-5.896840,-15.165411,True
7.738000,45.000000,85.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-68.333915,291.666085,-6.969376,-16.359811,True
7.738000,45.000000,90.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-72.526980,287.473020,-8.058174,-17.265585,True
7.738000,45.000000,95.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-76.971085,283.028915,-9.124126,-17.896507,True
7.738000,45.000000,100.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-81.305112,278.694888,-10.114776,-18.328162,True
7.738000,45.000000,105.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-85.297967,274.702033,-10.963500,-18.671293,True
7.738000,45.000000,110.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-88.712445,271.287555,-11.596843,-19.042910,True
7.738000,45.000000,115.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-91.137946,268.862054,-11.953311,-19.549580,True
7.738000,45.000000,120.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-91.953547,268.046453,-12.006921,-20.279853,True
7.738000,45.000000,125.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-90.453269,269.546731,-11.779236,-21.296345,True
7.738000,45.000000,130.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-86.051504,273.948496,-11.331588,-22.620303,True
7.738000,45.000000,135.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-78.580295,281.419705,-10.747800,-24.214887,True
7.738000,45.000000,140.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-68.868703,291.131297,-10.120964,-26.020544,True
7.738000,45.000000,145.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-59.504010,300.495990,-9.546397,-28.164722,True
7.738000,45.000000,150.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-55.912547,304.087453,-9.116484,-31.449642,True
7.738000,45.000000,155.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-83.351477,-83.351477,-8.915735,-38.067241,False
7.738000,45.000000,160.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-169.417183,190.582817,-9.017767,-32.932975,True
7.738000,45.000000,165.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,176.942526,176.942526,-9.485992,-25.010870,True
7.738000,45.000000,170.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,174.851538,174.851538,-10.378501,-20.052291,True
7.738000,45.000000,175.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,175.119483,175.119483,-11.757334,-16.564145,True
7.738000,45.000000,180.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,176.511106,176.511106,-13.704067,-14.024076,True
7.738000,45.000000,185.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,178.982703,178.982703,-16.349531,-12.199565,True
7.738000,45.000000,190.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-177.022680,182.977320,-19.945811,-10.961353,True
7.738000,45.000000,195.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-170.111158,189.888842,-25.103170,-10.220433,True
7.738000,45.000000,200.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-152.123612,207.876388,-34.023837,-9.900691,True
7.738000,45.000000,205.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-24.387608,-24.387608,-39.445379,-9.924827,False
7.738000,45.000000,210.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,9.302934,369.302934,-31.237270,-10.207573,True
7.738000,45.000000,215.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,24.089440,384.089440,-28.244059,-10.655452,True
7.738000,45.000000,220.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,37.752764,397.752764,-26.800718,-11.173166,True
7.738000,45.000000,225.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,51.264368,411.264368,-25.915271,-11.673846,True
7.738000,45.000000,230.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,63.674550,423.674550,-25.164309,-12.086278,True
7.738000,45.000000,235.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,73.612673,433.612673,-24.382182,-12.353301,True
7.738000,45.000000,240.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,80.112018,440.112018,-23.554580,-12.424694,True
7.738000,45.000000,245.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,82.990221,442.990221,-22.722481,-12.256228,True
7.738000,45.000000,250.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,82.751584,442.751584,-21.913451,-11.822117,True
7.738000,45.000000,255.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,80.255289,440.255289,-21.115867,-11.131662,True
7.738000,45.000000,260.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,76.393105,436.393105,-20.281463,-10.231765,True
7.738000,45.000000,265.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,71.922100,431.922100,-19.341838,-9.190633,True
7.738000,45.000000,270.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,67.456362,427.456362,-18.232754,-8.076666,True
7.738000,45.000000,275.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,63.501420,423.501420,-16.919190,-6.945969,True
7.738000,45.000000,280.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,60.440239,420.440239,-15.409269,-5.840049,True
7.738000,45.000000,285.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,58.493104,418.493104,-13.749563,-4.788835,True
7.738000,45.000000,290.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,57.717200,417.717200,-12.007517,-3.814767,True
7.738000,45.000000,295.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,58.059663,418.059663,-10.253364,-2.936037,True
7.738000,45.000000,300.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,59.429606,419.429606,-8.548880,-2.168600,True
7.738000,45.000000,305.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,61.757891,421.757891,-6.943094,-1.527024,True
7.738000,45.000000,310.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,65.036249,425.036249,-5.472233,-1.024269,True
7.738000,45.000000,315.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,69.339525,429.339525,-4.161548,-0.670266,True
7.738000,45.000000,320.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,74.834331,434.834331,-3.027676,-0.468933,True
7.738000,45.000000,325.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,81.771371,441.771371,-2.080861,-0.413239,True
7.738000,45.000000,330.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,90.450990,450.450990,-1.326574,-0.478439,True
7.738000,45.000000,335.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,101.145363,461.145363,-0.766274,-0.615656,True
7.738000,45.000000,340.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,113.969499,473.969499,-0.397099,-0.752384,True
7.738000,45.000000,345.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,128.744671,488.744671,-0.210298,-0.809987,True
7.738000,45.000000,350.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,144.978160,504.978160,-0.188070,-0.739360,True
7.738000,45.000000,355.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,162.047291,522.047291,-0.298763,-0.551074,True
7.738000,45.000000,360.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.443661,539.443661,-0.491966,-0.310199,True
7.738000,45.000000,0.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,178.141185,178.141185,-0.080580,0.000000,True
7.738000,45.000000,5.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-166.694320,193.305680,-0.073631,-0.030978,True
7.738000,45.000000,10.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-151.695410,208.304590,-0.126047,-0.163911,True
7.738000,45.000000,15.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-137.069479,222.930521,-0.228773,-0.424406,True
7.738000,45.000000,20.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-122.998715,237.001285,-0.379497,-0.834809,True
7.738000,45.000000,25.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-109.615898,250.384102,-0.581264,-1.412091,True
7.738000,45.000000,30.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-96.987303,263.012697,-0.840103,-2.167239,True
7.738000,45.000000,35.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-85.104348,274.895652,-1.162781,-3.106047,True
7.738000,45.000000,40.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-73.879933,286.120067,-1.555379,-4.230862,True
7.738000,45.000000,45.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-63.142814,296.857186,-2.022591,-5.542548,True
7.738000,45.000000,50.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-52.622617,307.377383,-2.567332,-7.041712,True
7.738000,45.000000,55.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-41.916639,318.083361,-3.190360,-8.727399,True
7.738000,45.000000,60.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-30.428625,329.571375,-3.889907,-10.589241,True
7.738000,45.000000,65.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-17.286889,342.713111,-4.661490,-12.583132,True
7.738000,45.000000,70.000000,90.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-1.359763,358.640237,-5.498060,-14.571178,True
