window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
35.0,305.0,550,-9.74825174058242,55.0,250.0,3.21809991307847,45.0,35.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
40.0,310.0,550,-9.74825174058242,55.0,250.0,3.0140528418884,45.0,40.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
45.0,315.0,550,-9.74825174058242,55.0,250.0,2.71278390438212,45.0,45.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
50.0,320.0,550,-9.74825174058242,55.0,250.0,2.56809625099298,45.0,320.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
55.0,325.0,550,-9.74825174058242,55.0,250.0,2.65959605740518,45.0,325.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
60.0,330.0,550,-9.74825174058242,55.0,250.0,2.73195986094811,45.0,330.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
65.0,335.0,550,-9.74825174058242,55.0,250.0,2.78882982944346,45.0,335.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
70.0,340.0,550,-9.74825174058242,55.0,250.0,2.82636726358614,45.0,340.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
75.0,345.0,550,-9.74825174058242,55.0,250.0,2.83834060402277,45.0,345.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
80.0,350.0,550,-9.74825174058242,55.0,250.0,2.83834060402277,45.0,345.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
85.0,355.0,550,-9.74825174058242,55.0,250.0,2.83834060402277,45.0,345.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
90.0,0.0,550,-9.74825174058242,55.0,250.0,2.83834060402277,45.0,345.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
95.0,5.0,550,-9.74825174058242,55.0,250.0,2.83834060402277,45.0,345.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
100.0,10.0,550,-9.74825174058242,55.0,250.0,2.89832218686708,45.0,10.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
105.0,15.0,550,-9.74825174058242,55.0,250.0,3.03683153183928,45.0,15.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
110.0,20.0,550,-9.74825174058242,55.0,250.0,3.18508347306805,45.0,20.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
115.0,25.0,550,-9.74825174058242,55.0,250.0,3.29085282531184,45.0,25.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
120.0,30.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
125.0,35.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
130.0,40.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
135.0,45.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
140.0,50.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
145.0,55.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
150.0,60.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
155.0,65.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
160.0,70.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
165.0,75.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
170.0,80.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
