Freq_GHz,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2A:1))","dB(S(P1A:1,P1A:1))","dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1B:1))","dB(S(P4B:1,P4B:1))","dB(S(P3A:1,P3A:1))","dB(S(P2B:1,P2B:1))","dB(S(P3B:1,P2A:1))","dB(S(P3B:1,P1A:1))","dB(S(P3B:1,P4A:1))","dB(S(P3B:1,P1B:1))","dB(S(P3B:1,P4B:1))","dB(S(P3B:1,P3A:1))","dB(S(P3B:1,P2B:1))","dB(S(P2A:1,P3B:1))","dB(S(P2A:1,P1A:1))","dB(S(P2A:1,P4A:1))","dB(S(P2A:1,P1B:1))","dB(S(P2A:1,P4B:1))","dB(S(P2A:1,P3A:1))","dB(S(P2A:1,P2B:1))","dB(S(P1A:1,P3B:1))","dB(S(P1A:1,P2A:1))","dB(S(P1A:1,P4A:1))","dB(S(P1A:1,P1B:1))","dB(S(P1A:1,P4B:1))","dB(S(P1A:1,P3A:1))","dB(S(P1A:1,P2B:1))","dB(S(P4A:1,P3B:1))","dB(S(P4A:1,P2A:1))","dB(S(P4A:1,P1A:1))","dB(S(P4A:1,P1B:1))","dB(S(P4A:1,P4B:1))","dB(S(P4A:1,P3A:1))","dB(S(P4A:1,P2B:1))","dB(S(P1B:1,P3B:1))","dB(S(P1B:1,P2A:1))","dB(S(P1B:1,P1A:1))","dB(S(P1B:1,P4A:1))","dB(S(P1B:1,P4B:1))","dB(S(P1B:1,P3A:1))","dB(S(P1B:1,P2B:1))","dB(S(P4B:1,P3B:1))","dB(S(P4B:1,P2A:1))","dB(S(P4B:1,P1A:1))","dB(S(P4B:1,P4A:1))","dB(S(P4B:1,P1B:1))","dB(S(P4B:1,P3A:1))","dB(S(P4B:1,P2B:1))","dB(S(P3A:1,P3B:1))","dB(S(P3A:1,P2A:1))","dB(S(P3A:1,P1A:1))","dB(S(P3A:1,P4A:1))","dB(S(P3A:1,P1B:1))","dB(S(P3A:1,P4B:1))","dB(S(P3A:1,P2B:1))","dB(S(P2B:1,P3B:1))","dB(S(P2B:1,P2A:1))","dB(S(P2B:1,P1A:1))","dB(S(P2B:1,P4A:1))","dB(S(P2B:1,P1B:1))","dB(S(P2B:1,P4B:1))","dB(S(P2B:1,P3A:1))"
7.738000,-9.961071,-9.691261,-8.484123,-8.826874,-9.154110,-9.644560,-9.543891,-9.668019,-19.205699,-36.147223,-18.999882,-20.242593,-22.105968,-18.500010,-21.790080,-19.205699,-18.385624,-16.455247,-18.609328,-35.589828,-18.278626,-19.211712,-36.147223,-18.385624,-18.521232,-20.731742,-18.805920,-16.585556,-19.403245,-18.999882,-16.455247,-18.521232,-19.678113,-20.221108,-18.220608,-36.614240,-20.242593,-18.609328,-20.731742,-19.678113,-22.025913,-33.950200,-22.279260,-22.105968,-35.589828,-18.805920,-20.221108,-22.025913,-19.694556,-20.163112,-18.500010,-18.278626,-16.585556,-18.220608,-33.950200,-19.694556,-18.746610,-21.790080,-19.211712,-19.403245,-36.614240,-22.279260,-20.163112,-18.746610
7.985500,-13.850501,-11.867121,-10.510149,-11.212654,-14.009548,-13.900959,-12.156819,-13.669798,-19.285978,-33.800298,-19.038375,-19.463388,-23.103072,-13.366545,-22.553767,-19.285978,-17.866308,-16.113975,-18.690503,-32.168149,-17.885702,-13.930663,-33.800298,-17.866308,-17.917279,-15.351096,-18.789804,-16.181323,-19.304154,-19.038375,-16.113975,-17.917279,-19.439951,-14.738560,-17.562380,-34.177695,-19.463388,-18.690503,-15.351096,-19.439951,-22.759643,-30.485162,-23.476315,-23.103072,-32.168149,-18.789804,-14.738560,-22.759643,-19.513975,-19.479422,-13.366545,-17.885702,-16.181323,-17.562380,-30.485162,-19.513975,-18.920774,-22.553767,-13.930663,-19.304154,-34.177695,-23.476315,-19.479422,-18.920774
8.233000,-10.618506,-8.658646,-8.724413,-9.026429,-11.209776,-10.549658,-9.185485,-10.398426,-21.154837,-30.827707,-20.459322,-19.590583,-25.950055,-10.977782,-24.628067,-21.154837,-18.116722,-17.055848,-20.386744,-30.424995,-18.256725,-11.309929,-30.827707,-18.116722,-17.970792,-12.344832,-20.267048,-16.960298,-20.896630,-20.459322,-17.055848,-17.970792,-20.979954,-11.869814,-17.693992,-32.293487,-19.590583,-20.386744,-12.344832,-20.979954,-25.026359,-28.705792,-26.514179,-25.950055,-30.424995,-20.267048,-11.869814,-25.026359,-21.090025,-19.830462,-10.977782,-18.256725,-16.960298,-17.693992,-28.705792,-21.090025,-20.602744,-24.628067,-11.309929,-20.896630,-32.293487,-26.514179,-19.830462,-20.602744
