freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,120.000000,76.807867,136.801253,-59.993386,-419.993386,-87.566074,2.409750,-3.103823,3.929454,-83.616676,2100.794231,3689.963292,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,125.000000,54.142055,129.396927,-75.254872,-435.254872,-102.827560,2.409750,-3.103823,3.929454,-99.091922,2029.218298,3731.847847,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,130.000000,28.057824,121.007813,-92.949989,-452.949989,-120.522677,2.409750,-3.103823,3.929454,-117.029229,2077.417656,3743.539703,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,135.000000,8.557981,111.697756,-103.139775,-463.139775,-130.712463,2.409750,-3.103823,3.929454,-127.487793,2265.140468,3700.202844,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,140.000000,-2.769702,101.537611,-104.307313,-464.307313,-131.880001,2.409750,-3.103823,3.929454,-128.948650,2573.979215,3581.992406,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,145.000000,-8.729623,90.604704,-99.334327,-459.334327,-126.907015,2.409750,-3.103823,3.929454,-124.291293,2948.198766,3376.487694,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,150.000000,-11.197255,78.982240,-90.179495,-450.179495,-117.752183,2.409750,-3.103823,3.929454,-115.471997,3312.752499,3081.842126,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,155.000000,-10.684025,66.758674,-77.442699,-437.442699,-105.015387,2.409750,-3.103823,3.929454,-103.088091,3589.631049,2712.109673,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,160.000000,-6.319325,54.027034,-60.346359,-420.346359,-87.919047,2.409750,-3.103823,3.929454,-86.359308,3709.664531,2308.268431,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,165.000000,6.018758,40.884216,-34.865458,-394.865458,-62.438146,2.409750,-3.103823,3.929454,-61.257835,3622.873806,1958.902328,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,170.000000,45.171124,27.430244,17.740880,-342.259120,-9.831808,2.409750,-3.103823,3.929454,-9.039908,3308.598923,1809.793510,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,175.000000,112.954558,13.767512,99.187046,-260.812954,71.614359,2.409750,-3.103823,3.929454,72.011821,2785.956336,1966.879585,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,180.000000,140.545670,0.000000,140.545670,-219.454330,112.972983,2.409750,-3.103823,3.929454,112.972983,2129.631167,2354.664273,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,185.000000,136.221440,-13.767512,149.988951,-210.011049,122.416264,2.409750,-3.103823,3.929454,122.018801,1517.344292,2806.827431,-0.061628,-0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,190.000000,-8.945737,-27.430244,18.484507,-341.515493,-9.088180,2.409750,-3.103823,3.929454,-9.880081,1321.088133,3192.013355,-0.122788,-0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,195.000000,-2.609580,-40.884216,38.274636,-321.725364,10.701948,2.409750,-3.103823,3.929454,9.521637,1717.199106,3431.497088,-0.183013,-0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,200.000000,3.242774,-54.027034,57.269808,-302.730192,29.697121,2.409750,-3.103823,3.929454,28.137382,2334.269249,3490.884072,-0.241845,-0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,205.000000,7.740424,-66.758674,74.499098,-285.500902,46.926411,2.409750,-3.103823,3.929454,44.999114,2916.120625,3373.433589,-0.298836,-0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,210.000000,10.742213,-78.982240,89.724453,-270.275547,62.151765,2.409750,-3.103823,3.929454,59.871579,3375.689254,3112.429762,-0.353553,-0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,215.000000,12.065578,-90.604704,102.670282,-257.329718,75.097594,2.409750,-3.103823,3.929454,72.481872,3689.599728,2761.303390,-0.405580,-0.405580,phi45.0_pol0.0
