freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,120.000000,82.588497,136.801253,-54.212756,-414.212756,-72.477573,-9.098948,5.577292,10.672255,-52.438709,2156.272002,3712.949488,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,125.000000,62.034499,129.396927,-67.362429,-427.362429,-85.627245,-9.098948,5.577292,10.672255,-66.672978,2092.730638,3736.518591,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,130.000000,34.016672,121.007813,-86.991141,-446.991141,-105.255957,-9.098948,5.577292,10.672255,-87.530541,2138.316530,3712.109455,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,135.000000,9.511146,111.697756,-102.186610,-462.186610,-120.451426,-9.098948,5.577292,10.672255,-104.089762,2311.805572,3624.574338,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,140.000000,-5.867003,101.537611,-107.404614,-467.404614,-125.669430,-9.098948,5.577292,10.672255,-110.796040,2599.286519,3469.067360,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,145.000000,-14.733139,90.604704,-105.337843,-465.337843,-123.602659,-9.098948,5.577292,10.672255,-110.330739,2951.392215,3251.390963,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,150.000000,-19.538980,78.982240,-98.521220,-458.521220,-116.786037,-9.098948,5.577292,10.672255,-105.216593,3297.341184,2987.348415,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,155.000000,-20.994785,66.758674,-87.753460,-447.753460,-106.018276,-9.098948,5.577292,10.672255,-96.239360,3561.488984,2703.653569,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,160.000000,-17.988764,54.027034,-72.015799,-432.015799,-90.280615,-9.098948,5.577292,10.672255,-82.366650,3677.975783,2443.221501,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,165.000000,-5.483349,40.884216,-46.367565,-406.367565,-64.632381,-9.098948,5.577292,10.672255,-58.643596,3603.719098,2270.378899,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,170.000000,31.088872,27.430244,3.658628,-356.341372,-14.606189,-9.098948,5.577292,10.672255,-10.588163,3328.500098,2254.038831,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,175.000000,75.077596,13.767512,61.310084,-298.689916,43.045268,-9.098948,5.577292,10.672255,45.061955,2881.491825,2414.728857,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,180.000000,82.517941,0.000000,82.517941,-277.482059,64.253125,-9.098948,5.577292,10.672255,64.253125,2338.256473,2694.049983,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,185.000000,11.295444,-13.767512,25.062955,-334.937045,6.798139,-9.098948,5.577292,10.672255,4.781452,1839.396250,2993.480992,-0.061628,-0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,190.000000,-16.789876,-27.430244,10.640368,-349.359632,-7.624449,-9.098948,5.577292,10.672255,-11.642474,1606.070939,3223.022763,-0.122788,-0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,195.000000,-12.836796,-40.884216,28.047420,-331.952580,9.782604,-9.098948,5.577292,10.672255,3.793819,1777.948675,3321.526565,-0.183013,-0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,200.000000,-4.404040,-54.027034,49.622995,-310.377005,31.358178,-9.098948,5.577292,10.672255,23.444213,2201.230019,3261.048644,-0.241845,-0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,205.000000,3.863538,-66.758674,70.622212,-289.377788,52.357395,-9.098948,5.577292,10.672255,42.578479,2667.758194,3046.126933,-0.298836,-0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,210.000000,10.437053,-78.982240,89.419293,-270.580707,71.154477,-9.098948,5.577292,10.672255,59.585033,3068.299684,2710.044136,-0.353553,-0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,215.000000,14.782181,-90.604704,105.386885,-254.613115,87.122069,-9.098948,5.577292,10.672255,73.850148,3358.525656,2308.274521,-0.405580,-0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,220.000000,16.269204,-101.537611,117.806815,-242.193185,99.541998,-9.098948,5.577292,10.672255,84.668608,3527.038076,1910.503567,-0.454519,-0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,225.000000,12.918200,-111.697756,124.615956,-235.384044,106.351139,-9.098948,5.577292,10.672255,89.989475,3581.682177,1591.935639,-0.500000,-0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,230.000000,-1.248377,-121.007813,119.759436,-240.240564,101.494619,-9.098948,5.577292,10.672255,83.769203,3543.466077,1416.528275,-0.541675,-0.541675,phi45.0_pol0.0
