freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-33.298228,-33.298228,-0.341144,-1.124119,True,0.970141,0.886515
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-43.456974,-43.456974,-0.626034,-1.590798,True,0.938838,0.840141
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-50.682276,-50.682276,-1.168798,-2.084368,True,0.881967,0.793732
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-69.238591,-69.238591,-1.282852,-2.439643,True,0.870462,0.761921
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,148.817335,-211.182665,-0.640868,-2.605205,True,0.937236,0.747536
7.738000,45.000000,200.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,136.625301,-223.374699,-0.187995,-2.590045,True,0.987398,0.748842
7.738000,45.000000,205.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,133.047401,-226.952599,-0.016474,-2.425489,True,1.007090,0.763164
7.738000,45.000000,210.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,131.238976,-228.761024,0.000000,-2.138404,True,1.009002,0.788809
7.738000,45.000000,215.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,130.257402,-229.742598,-0.075727,-1.744905,True,1.000244,0.825367
7.738000,45.000000,220.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,129.756742,-230.243258,-0.219364,-1.281123,True,0.983839,0.870635
7.738000,45.000000,225.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,129.372170,-230.627830,-0.423192,-0.891025,True,0.961020,0.910628
7.738000,45.000000,230.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,127.599007,-232.400993,-0.687032,-0.865084,True,0.932268,0.913352
7.738000,45.000000,235.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-20.222763,-380.222763,-1.012698,-1.314796,True,0.897961,0.867266
7.738000,45.000000,240.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-38.005373,-398.005373,-1.394595,-1.920241,True,0.859335,0.808873
7.738000,45.000000,245.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,1.186762,-358.813238,-1.799502,-2.356360,True,0.820195,0.769262
7.738000,45.000000,250.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,126.432325,-233.567675,-2.138795,-2.534736,True,0.788774,0.753625
7.738000,45.000000,255.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,131.726506,-228.273494,-2.277558,-2.496476,True,0.776273,0.756952
7.738000,45.000000,260.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,134.176446,-225.823554,-2.139749,-2.319044,True,0.788687,0.772574
7.738000,45.000000,265.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,136.168807,-223.831193,-1.803408,-2.079358,True,0.819826,0.794190
7.738000,45.000000,270.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,138.173486,-221.826514,-1.419228,-1.836561,True,0.856901,0.816703
7.738000,45.000000,275.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,140.387825,-219.612175,-1.086469,-1.626029,True,0.890366,0.836740
7.738000,45.000000,280.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,142.940434,-217.059566,-0.834575,-1.462796,True,0.916565,0.852614
7.738000,45.000000,285.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,145.933496,-214.066504,-0.657321,-1.349056,True,0.935462,0.863852
7.738000,45.000000,290.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,149.452937,-210.547063,-0.538837,-1.280882,True,0.948310,0.870659
7.738000,45.000000,295.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,153.573375,-206.426625,-0.464055,-1.252408,True,0.956510,0.873518
7.738000,45.000000,300.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,158.365434,-201.634566,-0.421128,-1.257826,True,0.961249,0.872973
7.738000,45.000000,305.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,163.905841,-196.094159,-0.401088,-1.292070,True,0.963469,0.869538
7.738000,45.000000,310.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,170.287362,-189.712638,-0.396920,-1.350858,True,0.963932,0.863673
7.738000,45.000000,315.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,177.625385,-182.374615,-0.402761,-1.430400,True,0.963283,0.855800
7.738000,45.000000,320.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-173.940296,-173.940296,-0.413407,-1.526839,True,0.962104,0.846350
7.738000,45.000000,325.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-164.248462,-164.248462,-0.424135,-1.635470,True,0.960916,0.835831
7.738000,45.000000,330.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-153.125266,-153.125266,-0.430766,-1.749868,True,0.960183,0.824895
7.738000,45.000000,335.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-140.403839,-140.403839,-0.429896,-1.861243,True,0.960279,0.814386
7.738000,45.000000,340.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-125.963414,-125.963414,-0.419329,-1.958545,True,0.961448,0.805313
7.738000,45.000000,345.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-109.792926,-109.792926,-0.398836,-2.030030,True,0.963719,0.798713
7.738000,45.000000,350.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-92.066463,-92.066463,-0.371354,-2.066969,True,0.966773,0.795323
7.738000,45.000000,355.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-73.194442,-73.194442,-0.344103,-2.068864,True,0.969811,0.795150
7.738000,45.000000,360.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-53.812154,-53.812154,-0.328168,-2.046515,True,0.971592,0.797198
