freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,479.719765,-144.254237,215.745763,76.388889,-2.441299,45.912137,23.857850,173.138035,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,388.128271,-142.708771,217.291229,77.777778,-2.328848,70.961842,43.995873,162.482196,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,392.698787,-137.641489,-137.641489,58.333333,-3.016207,58.942477,39.957136,155.661304,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,308.601249,30.685116,30.685116,79.166667,-2.353575,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,29.529627,-330.470373,93.055556,-2.430702,47.688447,27.680721,175.457964,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,53.165291,-306.834709,84.722222,-2.762553,67.201216,46.609859,172.432974,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,295.930078,53.040441,53.040441,70.833333,-2.516303,48.459552,30.595928,173.282261,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-82.716565,277.283435,90.277778,-2.542308,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,315.096242,-76.032786,-76.032786,65.277778,-2.259632,50.251066,31.422527,175.908600,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-96.627373,263.372627,79.166667,-3.332020,35.075336,24.962468,87.073496,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,447.261655,-105.779193,254.220807,70.833333,-2.734344,50.772632,32.323235,177.549630,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,272.320350,-55.492252,-55.492252,73.611111,-3.126471,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-67.895532,292.104468,90.277778,-2.652816,55.584857,34.106500,179.749336,73,73,
