"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
15,8,55,2719.79093522493,55,-4848.61264050943,55,1845.91145553487,55,-5864.1373753024
15,8,60,3272.93098279864,60,-5154.34607606191,60,1980.47315596874,60,-5330.05579324562
15,8,65,3852.35054354903,65,-5393.70529345361,65,2036.08701537749,65,-4776.8124745531
15,8,70,4444.87901006795,70,-5567.57350629355,70,2007.97271788315,70,-4214.87480103081
15,8,75,5036.71960109075,75,-5678.62912278248,75,1893.82168697043,75,-3654.1504092144
15,8,80,5613.94712237009,80,-5731.16918679256,80,1693.86651774572,80,-3103.60082472703
15,8,85,6163.00313770127,85,-5730.83723876904,85,1410.83973703482,85,-2570.90889086731
15,8,90,6671.16105162022,90,-5684.27535907601,90,1049.82734574436,90,-2062.22641859243
20,8,0,1107.57386861866,0,801.592410169578,0,-3217.14469003423,0,-7997.02695551327
20,8,5,919.518459867739,5,179.421203769901,5,-2898.47928517531,5,-8158.87039786153
20,8,10,787.106251259488,10,-450.465641175045,10,-2518.28605342667,10,-8234.95408330608
20,8,15,721.795972537636,15,-1078.45812222045,15,-2087.50172484334,15,-8223.91065438053
20,8,20,732.761132228774,20,-1694.55694437338,20,-1619.26015071775,20,-8125.8848369273
20,8,25,826.623159218613,25,-2288.51897450339,25,-1128.40832273059,25,-7942.68461473915
20,8,30,1007.25971835952,30,-2850.06934252814,30,-631.006621736318,30,-7677.91239164527
20,8,35,1275.66985763096,35,-3369.18588336575,35,-143.818851205576,35,-7337.05555248292
20,8,40,1629.88790676074,40,-3836.45387906261,40,316.213540946114,40,-6927.51400681504
20,8,45,2064.95376087916,45,-4243.47887971754,45,732.522018887123,45,-6458.54142406251
20,8,50,2572.96212763699,50,-4583.33283724432,50,1089.48885538259,50,-5941.07820902848
20,8,55,3143.22105072449,55,-4850.99539418411,55,1373.04048887384,55,-5387.45970824838
20,8,60,3762.54638559342,60,-5043.74102026711,60,1571.22698444683,60,-4810.99415366835
20,8,65,4415.70373170277,65,-5161.4176801879,65,1674.7441704494,65,-4225.42135181918
20,8,70,5085.98662154471,70,-5206.56711052939,70,1677.34980394273,70,-3644.28283608854
20,8,75,5755.89621246818,75,-5184.3517220103,75,1576.13116899368,75,-3080.25296679383
20,8,80,6407.87018836199,80,-5102.27682304202,80,1371.59742234446,80,-2544.49348027825
20,8,85,7025.00165626448,85,-4969.72480933294,85,1067.59125491915,85,-2046.09740569526
20,8,90,7591.69344556151,90,-4797.34431641666,90,671.035251942884,90,-1591.68053578854
25,8,0,1615.09558032874,0,-0.843518193546638,0,-4280.06725712876,0,-7819.39821054102
25,8,5,1357.43184128215,5,-550.363218186423,5,-3942.37059743431,5,-7949.21225076874
25,8,10,1164.88544669811,10,-1103.78462540842,10,-3526.38230387969,10,-7992.23044737847
25,8,15,1050.41561152357,15,-1652.25478284885,15,-3045.75647913368,15,-7946.64474334168
25,8,20,1024.04892019738,20,-2186.23432053515,20,-2516.52732243033,20,-7812.19193182898
25,8,25,1092.78373487403,25,-2695.58474023839,25,-1956.4495552885,25,-7590.42170306536
25,8,30,1260.57657896143,30,-3169.76405682076,30,-1384.41742199322,30,-7284.9331975069
25,8,35,1528.32988004446,35,-3598.1366365789,35,-819.958690744369,35,-6901.55426402516
25,8,40,1893.83106121026,40,-3970.40004897237,40,-282.759011602287,40,-6448.4432025693
