candidate_index,candidate,case,active_pol,elapsed_s,sources,s_csv,self_worst_db,coupling_worst_db,worst_active_s11_expr,worst_active_s11_db,worst_low_s11_expr,worst_low_s11_db,active_s11_pass,low_s11_pass,ff_csv,sample_count,default_gain_total_min_dbi,default_gain_total_min_theta_deg,default_gain_total_min_phi_deg,default_realized_gain_total_min_dbi,default_realized_gain_total_min_theta_deg,default_realized_gain_total_min_phi_deg,default_gain_pass,default_realized_gain_pass,native_export_log
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,284.96586561203003,"P1A,P1L,P2A,P2L,P3A,P3L,P4A,P4L",D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_native_s_parameters.csv,"{'dB(S(P1A,P1A))': -29.4711446744997, 'dB(S(P1L,P1L))': -14.8534020128334, 'dB(S(P2A,P2A))': -20.6918452221691, 'dB(S(P2L,P2L))': -12.9764758461584, 'dB(S(P3A,P3A))': -15.1253657233322, 'dB(S(P3L,P3L))': -14.9360158369707, 'dB(S(P4A,P4A))': -16.6114425052074, 'dB(S(P4L,P4L))': -14.4793261863825}","{'dB(S(P1A,P2A))': -44.9456414178732, 'dB(S(P1A,P3A))': -56.5108626763373, 'dB(S(P1A,P4A))': -48.7995939517778, 'dB(S(P2A,P1A))': -44.9456414178732, 'dB(S(P2A,P3A))': -46.5951977816799, 'dB(S(P2A,P4A))': -52.5678434756217, 'dB(S(P3A,P1A))': -56.5108626763373, 'dB(S(P3A,P2A))': -46.5951977816799, 'dB(S(P3A,P4A))': -51.3424744554278, 'dB(S(P4A,P1A))': -48.7995939517778, 'dB(S(P4A,P2A))': -52.5678434756217, 'dB(S(P4A,P3A))': -51.3424744554279}","dB(S(P3A,P3A))",-15.1253657233322,"dB(S(P2L,P2L))",-12.9764758461584,True,True,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_native_farfield_default.csv,190,-21.0969718725208,80.0,90.0,-21.105351716535,80.0,90.0,False,False,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_native_export.log
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,268.4572579860687,"P1B,P1L,P2B,P2L,P3B,P3L,P4B,P4L",D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_native_s_parameters.csv,"{'dB(S(P1B,P1B))': -24.9921442481528, 'dB(S(P1L,P1L))': -13.732974298226, 'dB(S(P2B,P2B))': -20.0584650999591, 'dB(S(P2L,P2L))': -16.4478328390753, 'dB(S(P3B,P3B))': -18.0990665733086, 'dB(S(P3L,P3L))': -13.916016591522, 'dB(S(P4B,P4B))': -17.4402381871574, 'dB(S(P4L,P4L))': -15.5786878178801}","{'dB(S(P1B,P2B))': -45.1882012300863, 'dB(S(P1B,P3B))': -53.8401516969324, 'dB(S(P1B,P4B))': -57.6636189368763, 'dB(S(P2B,P1B))': -45.1882012300863, 'dB(S(P2B,P3B))': -52.80393013609, 'dB(S(P2B,P4B))': -56.4303586530689, 'dB(S(P3B,P1B))': -53.8401516969324, 'dB(S(P3B,P2B))': -52.80393013609, 'dB(S(P3B,P4B))': -54.5859572055821, 'dB(S(P4B,P1B))': -57.6636189368763, 'dB(S(P4B,P2B))': -56.4303586530689, 'dB(S(P4B,P3B))': -54.5859572055821}","dB(S(P4B,P4B))",-17.4402381871574,"dB(S(P1L,P1L))",-13.732974298226,True,True,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_native_farfield_default.csv,190,-17.9407817517882,90.0,0.0,-17.9605842197012,90.0,0.0,False,False,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_native_export.log
