freq_ghz,phi_deg,baseline,linear_pol_deg,theta_deg,reference_pol_deg,raw_pdoa_deg,reference_pdoa_deg,pdoa_bias_vs_pol0_deg,pdoa_lut_correction_deg,corrected_pdoa_deg,corrected_bias_vs_pol0_deg,source_strategy,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,E1-E2,0.000000,145.000000,0.000000,29.984563,29.984563,0.000000,0.000000,29.984563,0.000000,calibrated_2x2_vector_correlation,-0.011543,-0.803797,True
7.738000,45.000000,E1-E2,0.000000,150.000000,0.000000,29.240814,29.240814,0.000000,0.000000,29.240814,0.000000,calibrated_2x2_vector_correlation,-0.052073,-0.760521,True
7.738000,45.000000,E1-E2,0.000000,155.000000,0.000000,28.518405,28.518405,0.000000,0.000000,28.518405,0.000000,calibrated_2x2_vector_correlation,-0.125986,-0.737461,True
7.738000,45.000000,E1-E2,0.000000,160.000000,0.000000,27.863487,27.863487,0.000000,0.000000,27.863487,0.000000,calibrated_2x2_vector_correlation,-0.229149,-0.745518,True
7.738000,45.000000,E1-E2,0.000000,165.000000,0.000000,27.346405,27.346405,0.000000,0.000000,27.346405,0.000000,calibrated_2x2_vector_correlation,-0.349707,-0.789181,True
7.738000,45.000000,E1-E2,0.000000,170.000000,0.000000,27.062208,27.062208,0.000000,0.000000,27.062208,0.000000,calibrated_2x2_vector_correlation,-0.471623,-0.863453,True
7.738000,45.000000,E1-E2,0.000000,175.000000,0.000000,27.134595,27.134595,0.000000,0.000000,27.134595,0.000000,calibrated_2x2_vector_correlation,-0.578902,-0.952941,True
7.738000,45.000000,E1-E2,0.000000,180.000000,0.000000,27.703020,27.703020,0.000000,0.000000,27.703020,0.000000,calibrated_2x2_vector_correlation,-0.659380,-1.035535,True
7.738000,45.000000,E1-E2,0.000000,185.000000,0.000000,28.862170,28.862170,0.000000,0.000000,28.862170,0.000000,calibrated_2x2_vector_correlation,-0.708374,-1.092291,True
7.738000,45.000000,E1-E2,0.000000,190.000000,0.000000,30.555697,30.555697,0.000000,0.000000,30.555697,0.000000,calibrated_2x2_vector_correlation,-0.731967,-1.121326,True
7.738000,45.000000,E1-E2,0.000000,195.000000,0.000000,32.516456,32.516456,0.000000,0.000000,32.516456,0.000000,calibrated_2x2_vector_correlation,-0.747208,-1.144664,True
7.738000,45.000000,E1-E2,0.000000,200.000000,0.000000,34.368098,34.368098,0.000000,0.000000,34.368098,0.000000,calibrated_2x2_vector_correlation,-0.775340,-1.192532,True
7.738000,45.000000,E1-E2,0.000000,205.000000,0.000000,35.823320,35.823320,0.000000,0.000000,35.823320,0.000000,calibrated_2x2_vector_correlation,-0.829567,-1.274182,True
7.738000,45.000000,E1-E2,0.000000,210.000000,0.000000,36.780278,36.780278,0.000000,0.000000,36.780278,0.000000,calibrated_2x2_vector_correlation,-0.907048,-1.370953,True
7.738000,45.000000,E1-E2,0.000000,215.000000,0.000000,37.270880,37.270880,0.000000,0.000000,37.270880,0.000000,calibrated_2x2_vector_correlation,-0.992024,-1.456056,True
7.738000,45.000000,E1-E2,0.000000,220.000000,0.000000,37.372389,37.372389,0.000000,0.000000,37.372389,0.000000,calibrated_2x2_vector_correlation,-1.065095,-1.511740,True
7.738000,45.000000,E1-E2,0.000000,225.000000,0.000000,37.160525,37.160525,0.000000,0.000000,37.160525,0.000000,calibrated_2x2_vector_correlation,-1.110326,-1.531871,True
7.738000,45.000000,E1-E2,0.000000,230.000000,0.000000,36.702237,36.702237,0.000000,0.000000,36.702237,0.000000,calibrated_2x2_vector_correlation,-1.117846,-1.517666,True
7.738000,45.000000,E1-E2,0.000000,235.000000,0.000000,36.061156,36.061156,0.000000,0.000000,36.061156,0.000000,calibrated_2x2_vector_correlation,-1.083848,-1.473526,True
7.738000,45.000000,E1-E2,0.000000,240.000000,0.000000,35.299528,35.299528,0.000000,0.000000,35.299528,0.000000,calibrated_2x2_vector_correlation,-1.009770,-1.404805,True
7.738000,45.000000,E1-E2,0.000000,245.000000,0.000000,34.474437,34.474437,0.000000,0.000000,34.474437,0.000000,calibrated_2x2_vector_correlation,-0.901349,-1.317132,True
7.738000,45.000000,E1-E2,0.000000,250.000000,0.000000,33.632258,33.632258,0.000000,0.000000,33.632258,0.000000,calibrated_2x2_vector_correlation,-0.767738,-1.216598,True
7.738000,45.000000,E1-E2,0.000000,255.000000,0.000000,32.804812,32.804812,0.000000,0.000000,32.804812,0.000000,calibrated_2x2_vector_correlation,-0.620688,-1.110248,True
7.738000,45.000000,E1-E2,0.000000,260.000000,0.000000,32.008366,32.008366,0.000000,0.000000,32.008366,0.000000,calibrated_2x2_vector_correlation,-0.473625,-1.006371,True
7.738000,45.000000,E1-E2,0.000000,265.000000,0.000000,31.245325,31.245325,0.000000,0.000000,31.245325,0.000000,calibrated_2x2_vector_correlation,-0.340249,-0.914086,True
7.738000,45.000000,E1-E2,0.000000,270.000000,0.000000,30.508545,30.508545,0.000000,0.000000,30.508545,0.000000,calibrated_2x2_vector_correlation,-0.232423,-0.841876,True
7.738000,45.000000,E1-E2,0.000000,275.000000,0.000000,29.788804,29.788804,0.000000,0.000000,29.788804,0.000000,calibrated_2x2_vector_correlation,-0.157636,-0.795262,True
7.738000,45.000000,E1-E2,0.000000,280.000000,0.000000,29.085865,29.085865,0.000000,0.000000,29.085865,0.000000,calibrated_2x2_vector_correlation,-0.116982,-0.774663,True
7.738000,45.000000,E1-E2,0.000000,285.000000,0.000000,28.421770,28.421770,0.000000,0.000000,28.421770,0.000000,calibrated_2x2_vector_correlation,-0.104780,-0.774887,True
7.738000,45.000000,E1-E2,0.000000,290.000000,0.000000,27.851237,27.851237,0.000000,0.000000,27.851237,0.000000,calibrated_2x2_vector_correlation,-0.110310,-0.786925,True
7.738000,45.000000,E1-E2,0.000000,295.000000,0.000000,27.460108,27.460108,0.000000,0.000000,27.460108,0.000000,calibrated_2x2_vector_correlation,-0.121112,-0.801141,True
7.738000,45.000000,E1-E2,0.000000,300.000000,0.000000,27.344181,27.344181,0.000000,0.000000,27.344181,0.000000,calibrated_2x2_vector_correlation,-0.126641,-0.810061,True
7.738000,45.000000,E1-E2,0.000000,305.000000,0.000000,27.572521,27.572521,0.000000,0.000000,27.572521,0.000000,calibrated_2x2_vector_correlation,-0.121029,-0.809601,True
7.738000,45.000000,E1-E2,0.000000,310.000000,0.000000,28.154901,28.154901,0.000000,0.000000,28.154901,0.000000,calibrated_2x2_vector_correlation,-0.104073,-0.798858,True
7.738000,45.000000,E1-E2,0.000000,315.000000,0.000000,29.034622,29.034622,0.000000,0.000000,29.034622,0.000000,calibrated_2x2_vector_correlation,-0.080160,-0.779408,True
7.738000,45.000000,E1-E2,0.000000,320.000000,0.000000,30.109593,30.109593,0.000000,0.000000,30.109593,0.000000,calibrated_2x2_vector_correlation,-0.055731,-0.754867,True
7.738000,45.000000,E1-E2,0.000000,325.000000,0.000000,31.265153,31.265153,0.000000,0.000000,31.265153,0.000000,calibrated_2x2_vector_correlation,-0.036683,-0.730816,True
7.738000,45.000000,E1-E2,0.000000,330.000000,0.000000,32.400390,32.400390,0.000000,0.000000,32.400390,0.000000,calibrated_2x2_vector_correlation,-0.027051,-0.714582,True
7.738000,45.000000,E1-E2,0.000000,335.000000,0.000000,33.441125,33.441125,0.000000,0.000000,33.441125,0.000000,calibrated_2x2_vector_correlation,-0.029279,-0.714259,True
7.738000,45.000000,E1-E2,0.000000,340.000000,0.000000,34.342667,34.342667,0.000000,0.000000,34.342667,0.000000,calibrated_2x2_vector_correlation,-0.045298,-0.736723,True
7.738000,45.000000,E1-E2,0.000000,345.000000,0.000000,35.088000,35.088000,0.000000,0.000000,35.088000,0.000000,calibrated_2x2_vector_correlation,-0.077251,-0.785270,True
7.738000,45.000000,E1-E2,0.000000,350.000000,0.000000,35.685014,35.685014,0.000000,0.000000,35.685014,0.000000,calibrated_2x2_vector_correlation,-0.127271,-0.858311,True
7.738000,45.000000,E1-E2,0.000000,355.000000,0.000000,36.163497,36.163497,0.000000,0.000000,36.163497,0.000000,calibrated_2x2_vector_correlation,-0.196579,-0.950227,True
7.738000,45.000000,E1-E2,0.000000,360.000000,0.000000,36.570383,36.570383,0.000000,0.000000,36.570383,0.000000,calibrated_2x2_vector_correlation,-0.284691,-1.053925,True
