freq_ghz,phi_deg,baseline,linear_pol_deg,valid_count,rms_bias_before_deg,mean_abs_bias_before_deg,max_abs_bias_before_deg,rms_bias_after_exact_lut_deg,mean_abs_bias_after_exact_lut_deg,max_abs_bias_after_exact_lut_deg
7.738000,75.000000,E1-E2,90.000000,73,19.772240,10.481938,119.527004,0.000000,0.000000,0.000000
7.738000,75.000000,E1-E2,135.000000,73,7.539650,5.688100,19.683129,0.000000,0.000000,0.000000
7.738000,75.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,75.000000,E1-E3,45.000000,73,6.916881,5.408240,17.788987,0.000000,0.000000,0.000000
7.738000,75.000000,E1-E3,90.000000,73,41.459737,19.494596,165.148247,0.000000,0.000000,0.000000
7.738000,75.000000,E1-E3,135.000000,73,11.726334,9.782332,23.968693,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E3,45.000000,73,11.041637,9.326024,17.806240,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E3,90.000000,73,34.122279,18.731410,157.062751,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E3,135.000000,73,14.246786,12.461647,23.253768,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E4,45.000000,73,13.155140,10.789398,24.007029,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E4,90.000000,73,33.614687,20.847533,126.473139,0.000000,0.000000,0.000000
7.738000,75.000000,E2-E4,135.000000,73,14.142620,11.385128,28.427422,0.000000,0.000000,0.000000
7.738000,75.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,75.000000,E3-E4,45.000000,73,8.134904,6.104751,19.464815,0.000000,0.000000,0.000000
7.738000,75.000000,E3-E4,90.000000,73,22.686246,14.707342,77.585716,0.000000,0.000000,0.000000
7.738000,75.000000,E3-E4,135.000000,73,8.049680,6.869149,16.928863,0.000000,0.000000,0.000000
7.738000,75.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,75.000000,E4-E1,45.000000,73,10.012949,7.081294,26.693333,0.000000,0.000000,0.000000
7.738000,75.000000,E4-E1,90.000000,73,42.508302,23.878546,168.992844,0.000000,0.000000,0.000000
7.738000,75.000000,E4-E1,135.000000,73,10.333999,8.066158,20.575555,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E2,45.000000,73,5.292591,3.265784,15.722928,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E2,90.000000,73,28.390669,16.023654,115.336824,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E2,135.000000,73,4.885237,4.078014,9.634578,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E3,45.000000,73,11.310369,7.526702,25.185279,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E3,90.000000,73,40.752346,19.641580,167.241126,0.000000,0.000000,0.000000
7.738000,90.000000,E1-E3,135.000000,73,7.849217,6.068461,20.025184,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E3,45.000000,73,12.294730,8.265153,28.149844,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E3,90.000000,73,25.385970,16.378283,128.783365,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E3,135.000000,73,10.159887,7.454560,24.919671,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E4,45.000000,73,6.833941,5.525403,15.055689,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E4,90.000000,73,26.279641,18.619044,140.196769,0.000000,0.000000,0.000000
7.738000,90.000000,E2-E4,135.000000,73,10.333665,8.258805,21.521490,0.000000,0.000000,0.000000
