freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,439.528257,-128.437798,-128.437798,54.166667,-5.562194,18.471118,15.397814,32.344182,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,660.183504,-117.669296,-117.669296,55.555556,-4.398754,43.679684,25.726207,146.669420,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,344.722142,-111.669740,-111.669740,52.777778,-5.281793,16.200298,14.217832,32.078689,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,89.606216,36.031548,36.031548,59.722222,-3.030164,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,118.600356,34.456095,34.456095,54.166667,-5.352163,9.349251,6.675662,24.432121,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,388.544202,34.644654,-325.355346,65.277778,-5.275199,29.365489,14.274613,155.373447,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,87.793155,35.808331,35.808331,52.777778,-5.615084,10.080038,7.792217,24.217216,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,321.716837,-86.731580,-86.731580,58.333333,-4.043111,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,318.300813,-92.375069,-92.375069,55.555556,-4.654342,13.268391,10.468670,29.718307,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,357.565020,-87.737769,-87.737769,55.555556,-3.953940,40.978880,30.933791,130.733488,73,73,
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,314.359994,-78.056052,-78.056052,54.166667,-4.492871,12.232219,9.162798,25.467652,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,83.207196,-38.432319,-38.432319,54.166667,-1.978003,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,118.226191,-40.306042,-40.306042,56.944444,-4.460184,15.890682,11.308794,36.759135,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,201.623155,-36.427836,-36.427836,58.333333,-4.091678,36.589760,20.705075,119.609082,73,73,
