freq_ghz,source,element,feed,theta_deg,phi_deg,etheta_re,etheta_im,ephi_re,ephi_im,gain_proxy_mag,linpol0_re,linpol0_im,linpol0_mag,linpol0_phase_deg,linpol45_re,linpol45_im,linpol45_mag,linpol45_phase_deg,linpol90_re,linpol90_im,linpol90_mag,linpol90_phase_deg,linpol135_re,linpol135_im,linpol135_mag,linpol135_phase_deg
7.985500,P4A,4,A,135.000000,15.000000,-120.743506,-25.114806,336.991180,674.427241,763.953472,-120.743506,-25.114806,123.327806,-168.249945,152.910197,459.133226,483.926490,71.580126,336.991180,674.427241,753.933127,63.450069,323.667301,494.650925,591.134553,56.801881
7.985500,P4A,4,A,140.000000,15.000000,-131.746243,-18.376590,349.961623,770.252184,856.420654,-131.746243,-18.376590,133.021696,-172.059346,154.301575,531.656331,553.595006,73.815790,349.961623,770.252184,846.026929,65.565479,340.618899,557.644754,653.443881,58.582705
7.985500,P4A,4,A,145.000000,15.000000,-135.773690,-12.757488,356.094198,862.641622,943.160058,-135.773690,-12.757488,136.371729,-174.632168,155.790125,600.958835,620.823714,75.466797,356.094198,862.641622,933.248973,67.569407,347.803119,619.000647,710.020289,60.669307
7.985500,P4A,4,A,150.000000,15.000000,-130.344749,-8.601663,355.966793,949.765625,1022.658713,-130.344749,-8.601663,130.628260,-176.224432,159.538877,665.503420,684.359157,76.519079,355.966793,949.765625,1014.281569,69.454286,343.874190,677.668008,759.923278,63.095052
7.985500,P4A,4,A,155.000000,15.000000,-113.001536,-5.789548,350.128427,1029.878902,1093.637662,-113.001536,-5.789548,113.149750,-177.067058,167.674033,724.140527,743.299458,76.962971,350.128427,1029.878902,1087.768573,71.223483,327.482337,732.328185,802.215215,65.906773
7.985500,P4A,4,A,160.000000,15.000000,-81.750297,-3.790058,338.919573,1101.322587,1155.194959,-81.750297,-3.790058,81.838106,-177.345588,181.846139,776.072694,797.092745,76.812601,338.919573,1101.322587,1152.292462,72.894843,297.458518,781.432645,836.133093,69.160277
7.985500,P4A,4,A,165.000000,15.000000,-35.602859,-1.741139,322.416108,1162.470051,1206.880012,-35.602859,-1.741139,35.645408,-177.200210,202.807593,820.759285,845.444690,76.120380,322.416108,1162.470051,1206.353500,74.498415,253.157640,823.221628,861.268041,72.906257
7.985500,P4A,4,A,170.000000,15.000000,24.902301,1.492396,300.536640,1211.709626,1248.673232,24.902301,1.492396,24.946980,3.429636,230.120082,857.863377,888.191885,74.984031,300.536640,1211.709626,1248.424002,76.070204,194.902910,855.752810,877.667372,77.169403
7.985500,P4A,4,A,175.000000,15.000000,97.373255,7.276654,273.270798,1247.533483,1280.840045,97.373255,7.276654,97.644767,4.273741,262.084923,887.284757,925.182548,73.543988,273.270798,1247.533483,1277.112650,77.644572,124.378345,876.994015,885.769990,81.927946
7.985500,P4A,4,A,180.000000,15.000000,177.594033,17.119156,240.919491,1268.716463,1303.655005,177.594033,17.119156,178.417225,5.506008,295.933751,909.223086,956.171222,71.970977,240.919491,1268.716463,1291.388271,79.247989,44.777861,885.012943,886.145003,87.103549
7.985500,P4A,4,A,185.000000,15.000000,-259.980658,-32.463794,-204.233900,-1274.486876,1317.069521,-259.980658,-32.463794,261.999695,-172.882316,-328.249262,-924.153682,980.717903,-109.554481,-204.233900,-1274.486876,1290.747180,-99.104128,39.418910,-878.242943,879.127134,-87.430071
7.985500,P4A,4,A,190.000000,15.000000,-338.394328,-54.360785,-164.405747,-1264.586270,1320.482299,-338.394328,-54.360785,342.732865,-170.873788,-355.533343,-932.636407,998.105518,-110.867509,-164.405747,-1264.586270,1275.228483,-97.407337,123.028506,-855.758648,864.557040,-81.818904
7.985500,P4A,4,A,195.000000,15.000000,-407.115165,-83.093593,-122.951236,-1239.199454,1312.775531,-407.115165,-83.093593,415.508487,-168.464182,-374.813546,-935.002380,1007.330455,-111.844323,-122.951236,-1239.199454,1245.284021,-95.666244,200.934241,-817.490294,841.822398,-76.190788
7.985500,P4A,4,A,200.000000,15.000000,-461.721729,-117.909936,-81.577246,-1198.841347,1292.658165,-461.721729,-117.909936,476.539304,-165.674538,-384.170390,-931.083761,1007.225823,-112.421319,-81.577246,-1198.841347,1201.613675,-93.892790,268.802742,-764.333931,810.222977,-70.624127
7.985500,P4A,4,A,205.000000,15.000000,-499.655102,-156.993625,-42.088254,-1144.319273,1259.182369,-499.655102,-156.993625,523.738694,-162.557073,-383.070400,-920.167175,996.719901,-112.602217,-42.088254,-1144.319273,1145.093018,-92.106399,323.548621,-698.144661,769.473637,-65.135076
7.985500,P4A,4,A,210.000000,15.000000,-520.354715,-197.723560,-6.319547,-1076.813853,1212.201157,-520.354715,-197.723560,556.653964,-159.194290,-372.414942,-901.234048,975.149064,-112.451773,-6.319547,-1076.813853,1076.832397,-90.336250,363.477753,-621.610707,720.080515,-59.683664
7.985500,P4A,4,A,215.000000,15.000000,-524.991666,-237.143819,23.963600,-998.000470,1152.576519,-524.991666,-237.143819,576.067219,-155.690845,-354.280343,-873.378903,942.499480,-112.079607,23.963600,-998.000470,998.288131,-88.624500,388.169992,-538.006897,663.420955,-54.189691
7.985500,P4A,4,A,220.000000,15.000000,-515.939549,-272.485222,47.238191,-910.069879,1082.081534,-515.939549,-272.485222,583.473920,-152.159942,-331.421909,-836.192732,899.476940,-111.620716,47.238191,-910.069879,911.295030,-87.028665,398.226799,-450.840434,601.532776,-48.545879
7.985500,P4A,4,A,225.000000,15.000000,-496.171283,-301.577468,62.435851,-815.554817,1003.076670,-496.171283,-301.577468,580.633198,-148.708381,-306.697265,-789.931814,847.381545,-111.219095,62.435851,-815.554817,817.941254,-85.622187,394.994892,-363.436869,536.756297,-42.617321
7.985500,P4A,4,A,230.000000,15.000000,-468.742515,-323.060868,69.111463,-716.989680,918.116804,-468.742515,-323.060868,569.287160,-145.425096,-282.581827,-735.426796,787.848374,-111.018870,69.111463,-716.989680,720.312846,-84.494204,380.320196,-278.549734,471.416383,-36.219363
7.985500,P4A,4,A,235.000000,15.000000,-436.443442,-336.397366,67.490933,-616.531199,829.645594,-436.443442,-336.397366,551.040893,-142.376055,-260.888822,-673.822250,722.564462,-111.165283,67.490933,-616.531199,620.214273,-83.752775,356.335414,-198.084533,407.691562,-29.069397
7.985500,P4A,4,A,240.000000,15.000000,-401.617071,-341.742871,58.377327,-515.684887,739.880582,-401.617071,-341.742871,527.337142,-139.604969,-242.707150,-606.292981,653.068098,-111.816883,58.377327,-515.684887,518.978626,-83.541413,325.265158,-122.995579,347.743204,-20.713581
7.985500,P4A,4,A,245.000000,15.000000,-366.091279,-339.758893,42.956668,-415.219385,650.931136,-366.091279,-339.758893,499.458637,-137.136481,-228.490675,-533.850261,580.692767,-113.171175,42.956668,-415.219385,417.435520,-84.093458,289.240577,-53.358625,294.121156,-10.452316
7.985500,P4A,4,A,250.000000,15.000000,-331.165611,-331.423417,22.574402,-315.261500,565.165073,-331.165611,-331.423417,468.521230,-134.977707,-218.206936,-457.275290,506.670462,-115.509983,22.574402,-315.261500,316.068690,-85.904308,250.131962,11.428201,250.392896,2.615950
7.985500,P4A,4,A,255.000000,15.000000,-297.616890,-317.872812,-1.456205,-215.501971,485.862282,-297.616890,-317.872812,435.452566,-133.115062,-211.476614,-377.152925,432.396447,-119.280155,-1.456205,-215.501971,215.506891,-90.387157,209.417229,72.387116,221.574977,19.068210
7.985500,P4A,4,A,260.000000,15.000000,-265.716236,-300.285075,-27.983863,-115.426534,418.189701,-265.716236,-300.285075,400.969131,-131.504970,-207.677331,-293.952498,359.913802,-125.241192,-27.983863,-115.426534,118.770288,-103.627779,168.102173,130.714728,212.942905,37.868313
7.985500,P4A,4,A,265.000000,15.000000,-235.267729,-279.803787,-56.086859,-14.507983,370.131437,-235.267729,-279.803787,365.569505,-130.058167,-206.018805,-208.109848,292.836911,-134.710701,-56.086859,-14.507983,57.932869,-165.497190,126.700008,187.592462,226.370987,55.964896
