freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-33.348349,-33.348349,-0.578902,-3.600184,True,1.206435,0.852000
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-50.650608,-50.650608,-0.659380,-3.594533,True,1.195309,0.852555
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-68.379783,-68.379783,-0.708374,-3.612852,True,1.188585,0.850759
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-86.344026,-86.344026,-0.731967,-3.654063,True,1.185361,0.846732
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-104.224784,-104.224784,-0.747208,-3.711370,True,1.183283,0.841164
7.738000,45.000000,200.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-121.608095,-121.608095,-0.775340,-3.774797,True,1.179457,0.835044
7.738000,45.000000,205.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-138.075044,-138.075044,-0.829567,-3.834715,True,1.172116,0.829303
7.738000,45.000000,210.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-153.289484,-153.289484,-0.907048,-3.884912,True,1.161707,0.824524
7.738000,45.000000,215.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-167.022634,-167.022634,-0.992024,-3.924141,True,1.150397,0.820809
7.738000,45.000000,220.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-179.125463,-179.125463,-1.065095,-3.955667,True,1.140760,0.817835
7.738000,45.000000,225.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,170.503394,-189.496606,-1.110326,-3.985324,True,1.134835,0.815047
7.738000,45.000000,230.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,161.929620,-198.070380,-1.117846,-4.019260,True,1.133853,0.811869
7.738000,45.000000,235.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,155.179852,-204.820148,-1.083848,-4.062339,True,1.138300,0.807853
7.738000,45.000000,240.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,150.235173,-209.764827,-1.009770,-4.117332,True,1.148049,0.802754
7.738000,45.000000,245.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,147.028385,-212.971615,-0.901349,-4.184486,True,1.162470,0.796571
