"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
15,8,65,5228.89572955223,65,267.18521054032,65,1560.78684118406,65,616.769910524218
15,8,70,5312.58307999166,70,575.96559303573,70,1077.21994290749,70,801.668564423168
15,8,75,5311.07745991621,75,905.34105498799,75,584.586376841841,75,921.690305342457
15,8,80,5227.88266216511,80,1238.61740473229,80,97.9344681607963,80,973.414219948427
15,8,85,5069.63406539087,85,1559.15377516396,85,-369.366275700107,85,957.46285326413
15,8,90,4845.46642774627,90,1851.47453697943,90,-806.215201169242,90,878.288142284509
20,8,0,913.502676183797,0,1225.79824053089,0,1630.11165428447,0,-2556.98990016933
20,8,5,1117.85729983964,5,969.153960273307,5,2131.43163964007,5,-2628.62369035387
20,8,10,1422.72206643996,10,683.203850843712,10,2602.54922882192,10,-2648.68313094137
20,8,15,1820.32923783071,15,382.403096392803,15,3016.42818068464,15,-2600.11937597264
20,8,20,2296.57521276275,20,86.2018105269802,20,3348.70638819176,20,-2471.13711558605
20,8,25,2831.83146011617,25,-182.833519260277,25,3579.29853778611,25,-2256.79788828051
20,8,30,3402.1504381854,30,-401.304318316638,30,3693.69398745407,30,-1959.8859982564
20,8,35,3980.77731261247,35,-547.413741711347,35,3683.85010700605,35,-1590.94994983157
20,8,40,4539.85405374702,40,-603.2819094585,40,3548.61796853257,40,-1167.5312661654
20,8,45,5052.18920826428,45,-556.89474697224,45,3293.67785291324,45,-712.684375393025
20,8,50,5492.96396341765,50,-403.486381561515,50,2931.00190913727,50,-252.964257833336
20,8,55,5841.25179939494,55,-146.222241620589,55,2477.89708314389,55,183.894421654237
20,8,60,6081.24371889151,60,203.872698405323,60,1955.71115696015,60,571.364065122299
20,8,65,6203.09280844337,65,628.717561397349,65,1388.30745997566,65,886.341418916997
20,8,70,6203.3200984899,70,1104.6158326877,70,800.42893288599,70,1110.98922637043
20,8,75,6084.75751341086,75,1604.17681110061,75,216.078947603227,75,1234.04237594453
20,8,80,5856.04142142933,80,2098.51949342389,80,-342.956470495019,80,1251.47734383167
20,8,85,5530.70889470335,85,2559.5374582786,85,-858.333554734654,85,1166.51022174866
20,8,90,5125.98410187283,90,2962.00387802471,90,-1316.03506025748,90,988.957674115708
25,8,0,1319.51514611089,0,1356.68447522719,0,1111.68338137198,0,-2529.8641509515
25,8,5,1489.01358815139,5,1086.4477017679,5,1772.0788596123,5,-2761.88853249313
25,8,10,1794.10924597958,10,752.53249042853,10,2400.80623841873,10,-2926.51352072592
25,8,15,2225.46844172584,15,376.51461304075,15,2959.81674151504,15,-2991.56210314894
25,8,20,2764.72818978817,20,-11.1165329395917,20,3414.81829339517,20,-2933.76901530047
25,8,25,3385.56542001337,25,-374.143217226984,25,3737.68593945748,25,-2741.63831942296
25,8,30,4055.36849608176,30,-674.519965992803,30,3908.40216450315,30,-2416.94217807022
25,8,35,4737.38057193369,35,-876.534519939191,35,3916.36593665401,35,-1974.71726661449
25,8,40,5393.14895025245,40,-950.752735754724,40,3760.97446340273,40,-1441.81206714627
25,8,45,5985.09713620173,45,-877.311665931846,45,3451.45062657221,45,-854.213482906132
25,8,50,6479.03267364133,50,-648.216700717965,50,3005.95288173742,50,-253.508108262435
25,8,55,6846.40991689593,55,-268.422978013555,55,2450.05801022123,55,317.100412030746
25,8,60,7066.18074590371,60,244.381127469259,60,1814.74934061764,60,816.788322823509
25,8,65,7126.08910367039,65,861.235445656872,65,1134.07504447356,65,1210.72979411962
25,8,70,7023.30029067085,70,1544.43923425318,70,442.663862385481,70,1473.00811665556
25,8,75,6764.30569465567,75,2250.8750827648,75,-226.701974316839,75,1588.57487816977
25,8,80,6364.10709155398,80,2935.77322570765,80,-845.258385748141,80,1554.10726340838
25,8,85,5844.75579422214,85,3556.52300411601,85,-1389.99729403221,85,1377.72021007598
25,8,90,5233.39030332442,90,4076.13854408732,90,-1844.83292527699,90,1077.60514388803
30,8,0,1618.90973030195,0,1219.78733435327,0,625.641608553022,0,-2362.61879343541
30,8,5,1751.47122805818,5,948.839355002796,5,1437.30288137845,5,-2797.10961569755
30,8,10,2053.42600008775,10,573.466107376016,10,2216.00892032178,10,-3145.95774118847
30,8,15,2514.61181429462,15,123.135094028408,15,2912.38010619645,15,-3357.70849211016
30,8,20,3113.1617340697,20,-358.978028390798,20,3481.85903768446,20,-3394.60488610702
30,8,25,3816.72879568903,25,-820.699532031732,25,3888.03736725715,25,-3237.09384762563
30,8,30,4584.52764974334,30,-1206.70258642364,30,4105.33301079552,30,-2886.09954520251
30,8,35,5370.02458673917,35,-1464.78506506803,35,4120.78009266658,35,-2362.84022926122
30,8,40,6124.0712128477,40,-1551.8347748844,40,3934.79347743951,40,-1706.32297246504
30,8,45,6798.26262426691,45,-1438.80014246039,45,3560.87242493407,45,-968.960440733737
30,8,50,7348.29450918673,50,-1114.13264353726,50,3024.30016005031,50,-210.95474879217
30,8,55,7737.08639925021,55,-585.364840504783,55,2359.97115865899,55,505.836884556882
30,8,60,7937.43131667537,60,121.299160539309,60,1609.53581836178,60,1123.88159281631
30,8,65,7933.93594226837,65,963.298037023318,65,818.097264540338,65,1595.22905982775
30,8,70,7724.04529049389,70,1885.66119349582,70,30.7309748340931,70,1885.60851771494
30,8,75,7318.01336361327,75,2826.15537604364,75,-710.87737108335,75,1977.04762418315
30,8,80,6737.78695790658,80,3721.06766628391,80,-1371.37623109571,80,1868.81908477303
30,8,85,6014.89966202935,85,4510.99013328478,85,-1924.00415641045,85,1576.65979115707
30,8,90,5187.60114293564,90,5145.97256447122,90,-2351.95678278339,90,1130.37244232438
35,8,0,1738.55977265948,0,822.890122941855,0,214.361648737559,0,-2085.58839483412
35,8,5,1835.87290441829,5,563.58227014772,5,1159.96761755122,5,-2749.94685340599
35,8,10,2132.57855298567,10,156.994262696181,10,2071.49571024164,10,-3308.38039400261
35,8,15,2618.63176194931,15,-359.739278180828,15,2888.74634982279,15,-3686.91372177145
35,8,20,3269.94365860083,20,-930.467469469987,20,3557.23325710016,20,-3831.02205823807
35,8,25,4049.62526801533,25,-1486.26838165038,25,4032.45790180393,25,-3712.18749598348
35,8,30,4910.21169466853,30,-1953.35772641605,30,4283.3909918162,30,-3331.09038973449
35,8,35,5796.67299229673,35,-2261.69240310798,35,4294.83605574131,35,-2717.08231958537
35,8,40,6650.01029737412,40,-2353.22015432053,40,4068.47056139225,40,-1924.19718663135
35,8,45,7411.24144347898,45,-2188.80687877316,45,3622.48965595266,45,-1024.48166895297
35,8,50,8025.56548589065,50,-1753.07458653791,50,2989.90274257118,50,-99.7326588408749
35,8,55,8446.44631147947,55,-1056.64920229735,55,2215.64332086272,55,767.228216029539
35,8,60,8639.28536338646,60,-135.603939001444,60,1352.74338462782,60,1500.77553245509
35,8,65,8584.29832442715,65,951.82803907315,65,457.897662093016,65,2039.47528741374
35,8,70,8278.21283573311,70,2130.91145126821,70,-413.195388477318,70,2341.35312577762
35,8,75,7734.49369283092,75,3317.80291117938,75,-1210.28273569326,75,2387.0869359578
35,8,80,6981.97983199785,80,4427.82015473435,80,-1892.34955100098,80,2180.89370507957
35,8,85,6062.05128636665,85,5383.59900875576,85,-2430.35476023261,85,1749.02917587987
35,8,90,5024.67593867041,90,6122.16821138061,90,-2808.6314331912,90,1136.03776854885
40,8,0,1635.61068012706,0,214.70542209416,0,-93.7734823114897,0,-1738.46160566632
40,8,5,1702.65196057991,5,-22.9775196089815,5,961.85301893188,5,-2642.89169826468
40,8,10,1993.46492593767,10,-448.514301089646,10,1982.35896347516,10,-3419.75473881999
40,8,15,2499.00992845735,15,-1018.24473643761,15,2898.08548696892,15,-3970.55566055447
40,8,20,3194.50905131534,20,-1664.15046017274,20,3645.62148699798,20,-4222.65806100676
40,8,25,4040.58616592819,25,-2301.4476127582,25,4172.92905614435,25,-4138.27695353509
40,8,30,4985.42621288419,30,-2838.42082861909,30,4443.65966259301,30,-3718.75405700541
40,8,35,5967.75219305811,35,-3187.28731321081,35,4440.24529215627,35,-3003.5403193057
40,8,40,6920.49032038769,40,-3274.77194145599,40,4165.43815234295,40,-2064.28651290249
40,8,45,7775.05351303442,45,-3051.16162536667,45,3642.09960655659,45,-995.299694176956
40,8,50,8466.14785797301,50,-2496.82094179289,50,2911.20385114359,50,97.9122607286869
40,8,55,8936.87200936852,55,-1625.4254994269,55,2028.20488720953,55,1110.31356955583
40,8,60,9143.67685928877,60,-483.483095221445,60,1058.08736154102,60,1947.92730086675
40,8,65,9060.57119975165,65,853.913434394224,65,69.5627427347945,65,2536.517960982
40,8,70,8681.89492742532,70,2290.70499066216,70,-871.021298879441,70,2827.89958629774
40,8,75,8023.09616214804,75,3719.96680637254,75,-1705.41894701455,75,2803.5461654884
40,8,80,7119.2415334717,80,5035.1784113002,80,-2388.21522248817,80,2475.23634873188
40,8,85,6021.39193043227,85,6141.13634809697,85,-2889.96797594672,85,1882.59172511458
40,8,90,4791.37462362612,90,6963.06514160079,90,-3198.39400907761,90,1087.65685007298
45,8,0,1305.39665583682,0,-531.064274664356,0,-287.228239533911,0,-1364.23303895494
45,8,5,1349.12865855386,5,-741.020062832018,5,851.243679733494,5,-2502.2055881593
45,8,10,1634.22655203343,10,-1173.41634440289,10,1953.52397891756,10,-3490.39717129705
45,8,15,2153.32002767291,15,-1779.71440744132,15,2942.6569622695,15,-4205.24682835765
45,8,20,2882.47836224795,20,-2482.20423533055,20,3747.92222197425,20,-4555.7010527333
45,8,25,3782.1712005185,25,-3182.65918244462,25,4310.5536231906,25,-4494.9599765441
45,8,30,4799.11854501952,30,-3773.70334340321,30,4588.87806078779,30,-4026.02705836262
45,8,35,5868.82064669287,35,-4151.50856882897,35,4562.37210873304,35,-3200.12512030489
45,8,40,6918.77175527304,40,-4228.38446832883,40,4234.09097154439,40,-2108.5028561137
45,8,45,7872.53771946933,45,-3943.92338629918,45,3630.98845358733,45,-869.496747618341
45,8,50,8654.86699108377,50,-3273.48646970384,50,2801.86148448775,50,386.582447633622
45,8,55,9197.74765137675,55,-2232.93487794264,55,1812.98125479022,55,1532.3138294411
45,8,60,9446.89724510799,60,-878.718790273629,60,741.82019981833,60,2456.11266690709
45,8,65,9367.7605923027,65,697.114099029331,65,-330.439587243802,65,3072.43906395864
45,8,70,8949.89079397389,70,2376.67955304599,70,-1326.75834722975,70,3328.95086538195
45,8,75,8208.72018338476,75,4029.56079475949,75,-2181.51069547569,75,3210.35680016189
45,8,80,7184.18449009184,80,5527.6485451471,80,-2846.24345977237,80,2738.63318926877
45,8,85,5936.31643211132,85,6759.17441070163,85,-3293.12463385463,85,1969.34760641763
45,8,90,4538.57094685686,90,7639.84343049521,90,-3515.61925359282,90,984.236688036382
