Freq_GHz,"dB(S(P2A:1,P2A:1))","dB(S(P4B:1,P4B:1))","dB(S(P4A:1,P4A:1))","dB(S(P1A:1,P1A:1))","dB(S(P2B:1,P2B:1))","dB(S(P3A:1,P3A:1))","dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P4B:1))","dB(S(P2A:1,P4A:1))","dB(S(P2A:1,P1A:1))","dB(S(P2A:1,P2B:1))","dB(S(P2A:1,P3A:1))","dB(S(P2A:1,P3B:1))","dB(S(P2A:1,P1B:1))","dB(S(P4B:1,P2A:1))","dB(S(P4B:1,P4A:1))","dB(S(P4B:1,P1A:1))","dB(S(P4B:1,P2B:1))","dB(S(P4B:1,P3A:1))","dB(S(P4B:1,P3B:1))","dB(S(P4B:1,P1B:1))","dB(S(P4A:1,P2A:1))","dB(S(P4A:1,P4B:1))","dB(S(P4A:1,P1A:1))","dB(S(P4A:1,P2B:1))","dB(S(P4A:1,P3A:1))","dB(S(P4A:1,P3B:1))","dB(S(P4A:1,P1B:1))","dB(S(P1A:1,P2A:1))","dB(S(P1A:1,P4B:1))","dB(S(P1A:1,P4A:1))","dB(S(P1A:1,P2B:1))","dB(S(P1A:1,P3A:1))","dB(S(P1A:1,P3B:1))","dB(S(P1A:1,P1B:1))","dB(S(P2B:1,P2A:1))","dB(S(P2B:1,P4B:1))","dB(S(P2B:1,P4A:1))","dB(S(P2B:1,P1A:1))","dB(S(P2B:1,P3A:1))","dB(S(P2B:1,P3B:1))","dB(S(P2B:1,P1B:1))","dB(S(P3A:1,P2A:1))","dB(S(P3A:1,P4B:1))","dB(S(P3A:1,P4A:1))","dB(S(P3A:1,P1A:1))","dB(S(P3A:1,P2B:1))","dB(S(P3A:1,P3B:1))","dB(S(P3A:1,P1B:1))","dB(S(P3B:1,P2A:1))","dB(S(P3B:1,P4B:1))","dB(S(P3B:1,P4A:1))","dB(S(P3B:1,P1A:1))","dB(S(P3B:1,P2B:1))","dB(S(P3B:1,P3A:1))","dB(S(P3B:1,P1B:1))","dB(S(P1B:1,P2A:1))","dB(S(P1B:1,P4B:1))","dB(S(P1B:1,P4A:1))","dB(S(P1B:1,P1A:1))","dB(S(P1B:1,P2B:1))","dB(S(P1B:1,P3A:1))","dB(S(P1B:1,P3B:1))"
7.738000,-0.783888,-1.414534,-1.231898,-0.607031,-0.520818,-9.665122,-9.865341,-0.537366,-56.090390,-44.123860,-39.957792,-19.864341,-46.379334,-37.337607,-37.840187,-56.090390,-8.421848,-41.544233,-41.648414,-42.459105,-41.486887,-37.719640,-44.123860,-8.421848,-41.796397,-46.728924,-38.963651,-47.297725,-47.732332,-39.957792,-41.544233,-41.796397,-44.033997,-42.678654,-52.869542,-32.722101,-19.864341,-41.648414,-46.728924,-44.033997,-40.390855,-37.368975,-43.320027,-46.379334,-42.459105,-38.963651,-42.678654,-40.390855,-1.297625,-47.294204,-37.337607,-41.486887,-47.297725,-52.869542,-37.368975,-1.297625,-48.077317,-37.840187,-37.719640,-47.732332,-32.722101,-43.320027,-47.294204,-48.077317
7.985500,-0.922878,-2.151346,-2.142633,-0.616747,-0.731922,-1.830049,-1.822099,-0.551823,-55.810185,-46.741878,-45.978280,-10.942670,-44.599647,-41.049636,-41.149061,-55.810185,-5.069199,-45.305688,-47.232144,-42.410153,-42.680678,-41.510749,-46.741878,-5.069199,-44.677816,-51.015753,-40.087579,-46.067858,-50.477415,-45.978280,-45.305688,-44.677816,-50.225009,-42.498581,-53.752412,-14.733004,-10.942670,-47.232144,-51.015753,-50.225009,-46.538198,-40.873484,-50.006325,-44.599647,-42.410153,-40.087579,-42.498581,-46.538198,-7.141749,-47.796995,-41.049636,-42.680678,-46.067858,-53.752412,-40.873484,-7.141749,-47.286760,-41.149061,-41.510749,-50.477415,-14.733004,-50.006325,-47.796995,-47.286760
8.233000,-1.407810,-3.360339,-3.406498,-1.119926,-1.244311,-0.600720,-0.502385,-1.043716,-57.942585,-49.925032,-51.804590,-7.264259,-42.655956,-45.916249,-42.801535,-57.942585,-3.240856,-46.483021,-51.951847,-44.537209,-46.683186,-43.978085,-49.925032,-3.240856,-49.295049,-54.462962,-44.091902,-43.585912,-55.301725,-51.804590,-46.483021,-49.295049,-54.819342,-44.725666,-53.274103,-8.534229,-7.264259,-51.951847,-54.462962,-54.819342,-50.427327,-45.767209,-54.756565,-42.655956,-44.537209,-44.091902,-44.725666,-50.427327,-28.069835,-49.953705,-45.916249,-46.683186,-43.585912,-53.274103,-45.767209,-28.069835,-48.857692,-42.801535,-43.978085,-55.301725,-8.534229,-54.756565,-49.953705,-48.857692
