Freq_GHz,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1B:1))","dB(S(P2B:1,P2B:1))","dB(S(P4B:1,P4B:1))","dB(S(P1A:1,P1A:1))","dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2A:1))","dB(S(P3A:1,P3A:1))","dB(S(P4A:1,P1B:1))","dB(S(P4A:1,P2B:1))","dB(S(P4A:1,P4B:1))","dB(S(P4A:1,P1A:1))","dB(S(P4A:1,P3B:1))","dB(S(P4A:1,P2A:1))","dB(S(P4A:1,P3A:1))","dB(S(P1B:1,P4A:1))","dB(S(P1B:1,P2B:1))","dB(S(P1B:1,P4B:1))","dB(S(P1B:1,P1A:1))","dB(S(P1B:1,P3B:1))","dB(S(P1B:1,P2A:1))","dB(S(P1B:1,P3A:1))","dB(S(P2B:1,P4A:1))","dB(S(P2B:1,P1B:1))","dB(S(P2B:1,P4B:1))","dB(S(P2B:1,P1A:1))","dB(S(P2B:1,P3B:1))","dB(S(P2B:1,P2A:1))","dB(S(P2B:1,P3A:1))","dB(S(P4B:1,P4A:1))","dB(S(P4B:1,P1B:1))","dB(S(P4B:1,P2B:1))","dB(S(P4B:1,P1A:1))","dB(S(P4B:1,P3B:1))","dB(S(P4B:1,P2A:1))","dB(S(P4B:1,P3A:1))","dB(S(P1A:1,P4A:1))","dB(S(P1A:1,P1B:1))","dB(S(P1A:1,P2B:1))","dB(S(P1A:1,P4B:1))","dB(S(P1A:1,P3B:1))","dB(S(P1A:1,P2A:1))","dB(S(P1A:1,P3A:1))","dB(S(P3B:1,P4A:1))","dB(S(P3B:1,P1B:1))","dB(S(P3B:1,P2B:1))","dB(S(P3B:1,P4B:1))","dB(S(P3B:1,P1A:1))","dB(S(P3B:1,P2A:1))","dB(S(P3B:1,P3A:1))","dB(S(P2A:1,P4A:1))","dB(S(P2A:1,P1B:1))","dB(S(P2A:1,P2B:1))","dB(S(P2A:1,P4B:1))","dB(S(P2A:1,P1A:1))","dB(S(P2A:1,P3B:1))","dB(S(P2A:1,P3A:1))","dB(S(P3A:1,P4A:1))","dB(S(P3A:1,P1B:1))","dB(S(P3A:1,P2B:1))","dB(S(P3A:1,P4B:1))","dB(S(P3A:1,P1A:1))","dB(S(P3A:1,P3B:1))","dB(S(P3A:1,P2A:1))"
7.738000,-12.881877,-18.480306,-17.004632,-12.335786,-18.321346,-15.641031,-16.646021,-14.535825,-47.740757,-74.115548,-0.523847,-47.593246,-43.506386,-48.128767,-46.889379,-47.740757,-59.187949,-46.989221,-0.334423,-48.081605,-46.441610,-49.365353,-74.115548,-59.187949,-61.931579,-46.538369,-47.668174,-0.372885,-48.205015,-0.523847,-46.989221,-61.931579,-47.606126,-45.652222,-49.426471,-47.763891,-47.593246,-0.334423,-46.538369,-47.606126,-60.496979,-63.388725,-57.981258,-43.506386,-48.081605,-47.668174,-45.652222,-60.496979,-45.912368,-0.390312,-48.128767,-46.441610,-0.372885,-49.426471,-63.388725,-45.912368,-45.917776,-46.889379,-49.365353,-48.205015,-47.763891,-57.981258,-0.390312,-45.917776
7.985500,-10.769479,-15.892269,-16.078761,-10.114575,-15.503925,-12.967351,-15.504766,-12.053462,-54.979502,-54.356720,-0.696056,-49.405120,-40.460950,-46.308570,-43.612530,-54.979502,-46.806843,-55.619076,-0.427426,-46.235615,-42.715555,-47.632176,-54.356720,-46.806843,-54.112472,-43.119278,-53.538827,-0.456959,-56.105420,-0.696056,-55.619076,-54.112472,-52.304939,-43.075997,-47.173550,-47.150338,-49.405120,-0.427426,-43.119278,-52.304939,-66.342660,-51.951597,-66.972030,-40.460950,-46.235615,-53.538827,-43.075997,-66.342660,-57.339378,-0.504944,-46.308570,-42.715555,-0.456959,-47.173550,-51.951597,-57.339378,-54.294996,-43.612530,-47.632176,-56.105420,-47.150338,-66.972030,-0.504944,-54.294996
8.233000,-8.646573,-13.865537,-16.674477,-8.285757,-13.558877,-10.661208,-15.723813,-10.227459,-51.046964,-64.085265,-0.888808,-47.515244,-49.780890,-54.557809,-53.721961,-51.046964,-48.579260,-50.930382,-0.523459,-60.356333,-44.528751,-57.114177,-64.085265,-48.579260,-66.114088,-45.221707,-46.765860,-0.473667,-53.140104,-0.888808,-50.930382,-66.114088,-55.834023,-53.705306,-56.659259,-57.335201,-47.515244,-0.523459,-45.221707,-55.834023,-69.700409,-57.748267,-61.659097,-49.780890,-60.356333,-46.765860,-53.705306,-69.700409,-55.278691,-0.621663,-54.557809,-44.528751,-0.473667,-56.659259,-57.748267,-55.278691,-49.714132,-53.721961,-57.114177,-53.140104,-57.335201,-61.659097,-0.621663,-49.714132
