valid_count,total_count,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,freq_ghz,phi_deg,linear_pol_deg,strategy,strategy_note,baseline
73,73,100.0,360.0,-1.1152795198926242,358.8847204801074,75.0,-28.591278357480757,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,606.6462146359056,13.782246757160664,-346.21775324283925,56.94444444444444,-29.825912778144684,75.88925621110278,58.72551688986246,176.00690574479597,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,403.1467448257973,9.043869772084292,369.0438697720843,75.0,-28.36092552324795,92.82978144826356,70.3870273896582,178.56629645091164,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
71,73,97.26027397260275,360.0,3.739965790566089,363.7399657905661,80.0,-47.02959979333716,35.214870734739534,25.82469459500825,149.2173261886672,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,321.9864041531278,6.383948332362451,6.383948332362479,51.388888888888886,-34.272552826945486,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,223.22321723900967,-49.4065479264674,-49.406547926467425,55.55555555555556,-11.702157756966038,117.8310125886554,106.00062671635317,177.0509539310217,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,206.63630791009928,-1.556721057061253,-1.556721057061253,51.388888888888886,-18.885959221518974,74.45565834585334,59.94874567639305,154.25404659600912,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
72,73,98.63013698630137,617.6456326766503,2.7153068186758276,-357.2846931813242,59.15492957746479,-35.59531790264606,62.87919203760329,45.62839507364305,178.98866836436167,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,338.6479942866659,12.858727817130926,12.858727817130898,51.388888888888886,-30.71502137027331,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,601.2638733351043,25.82277027907537,-334.17722972092463,61.111111111111114,-23.384755478814085,96.44837889632927,80.92405520734594,179.83299494515498,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,207.9131248985748,20.248605134907052,20.248605134907052,52.77777777777778,-28.25072481327624,54.83804172433013,43.74972068533749,139.06724013036376,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,268.4364861331454,16.40641752011635,16.406417520116293,69.44444444444444,-31.438931872024874,47.41582546096759,28.875404442960146,177.99274491120298,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,536.2673303851248,-13.97400733702355,346.0259926629765,66.66666666666667,-31.441115637336267,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,354.8028542708805,-12.040523521914707,-12.040523521914622,56.94444444444444,-29.825912778144684,76.67068861162785,59.67831556484829,164.20573966672697,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,360.0,-11.20473536282276,348.79526463717724,66.66666666666667,-28.968499565982984,61.41515548679609,40.07919918334813,170.2513372097609,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
71,73,97.26027397260275,322.9589081345215,-12.666451729550232,-12.666451729550232,64.28571428571429,-47.02959979333716,44.0812415185855,24.474942920691046,161.13433468816095,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
72,73,98.63013698630137,540.3014162957825,20.357955669386,-339.642044330614,63.38028169014085,-35.9986159614398,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,273.34819035854196,-37.36602440455266,-37.3660244045528,56.94444444444444,-29.825912778144684,115.45805015709334,101.21966760189954,176.78747851185165,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,359.99999999999994,9.648014305761478,-350.35198569423846,75.0,-29.409593416044615,75.73680158789568,60.004339231719506,179.2028283694616,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
70,73,95.89041095890411,349.9317207221743,15.38175854822606,15.38175854822606,78.26086956521739,-47.02959979333716,46.36123370512614,33.25372694338829,176.13972520344691,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
72,73,98.63013698630137,498.3791924650139,-19.242676149493377,-19.242676149493377,61.971830985915496,-35.27252169437685,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,520.9044090325497,23.583777647392026,383.583777647392,68.05555555555556,-23.384755478814085,90.64558359418649,76.89057860067149,176.69813508787746,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,339.4709318065546,-18.6918840778458,-18.69188407784577,54.166666666666664,-28.69181866333787,73.16279211515922,52.756033073412766,169.62185329096576,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
