Freq_GHz,GainTotal_min_dBi,GainTotal_max_dBi,GainTotal_ripple_dB,RealizedGainTotal_min_dBi,RealizedGainTotal_max_dBi,AxialRatioValue_min,AxialRatioValue_max
7.740000,-31.787845,4.763404,36.551249,-33.360296,3.190953,1.038718,4114.148987
8.000000,-28.196101,5.169916,33.366017,-29.306205,4.059812,1.051865,32443.826221
8.240000,-29.049768,5.328598,34.378366,-29.893755,4.484611,1.127533,57440.347473
