case,active_pol,freq_ghz,theta_deg,phi_deg,linear_pol_deg,baseline,left_source,right_source,left_mag,right_mag,pdoa_deg,left_mag_rel_db,right_mag_rel_db,valid,phase_error_vs_pol0_deg,reference_phase_slope_deg_per_az_deg,azimuth_error_equiv_deg,pdoa_unwrapped_deg
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,120.000000,0.000000,E1-E3,P1A,P3A,1958.730583,706.162070,-2.028729,-4.947713,-13.809120,True,0.000000,-2.509800,-0.000000,-2.028729
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,125.000000,0.000000,E1-E3,P1A,P3A,2016.622868,806.865463,-14.436676,-4.694714,-12.651185,True,0.000000,-2.444410,-0.000000,-14.436676
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,130.000000,0.000000,E1-E3,P1A,P3A,2070.115561,923.933175,-26.472826,-4.467315,-11.474396,True,0.000000,-2.389153,-0.000000,-26.472826
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,0.000000,E1-E3,P1A,P3A,2113.535176,1047.085515,-38.328210,-4.287018,-10.387564,True,0.000000,-2.375607,-0.000000,-38.328210
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,140.000000,0.000000,E1-E3,P1A,P3A,2142.088086,1166.389849,-50.228894,-4.170461,-9.450333,True,0.000000,-2.397788,-0.000000,-50.228894
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,145.000000,0.000000,E1-E3,P1A,P3A,2151.937269,1274.519338,-62.306086,-4.130615,-8.680279,True,0.000000,-2.433193,-0.000000,-62.306086
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,150.000000,0.000000,E1-E3,P1A,P3A,2140.157299,1368.184309,-74.560820,-4.178293,-8.064315,True,0.000000,-2.456274,-0.000000,-74.560820
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,155.000000,0.000000,E1-E3,P1A,P3A,2105.210516,1448.069839,-86.868821,-4.321297,-7.571417,True,0.000000,-2.443876,-0.000000,-86.868821
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,160.000000,0.000000,E1-E3,P1A,P3A,2047.943240,1517.000237,-98.999578,-4.560849,-7.167494,True,0.000000,-2.379436,-0.000000,-98.999578
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,165.000000,0.000000,E1-E3,P1A,P3A,1972.172264,1577.049390,-110.663180,-4.888310,-6.830301,True,0.000000,-2.260424,-0.000000,-110.663180
