case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E1-E3,73,73,100.000000,426.997889,101.475451,88.387480,170.930071,179.063224,84.518946,207.404591,249.827984,65
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,0.000000,E2-E4,73,73,100.000000,455.490174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,45.000000,E2-E4,73,73,100.000000,500.848548,83.859689,77.607654,119.703883,121.279904,42.026696,85.242503,105.394051,70
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,90.000000,E2-E4,72,73,98.630137,423.134771,153.884245,151.981752,179.831372,179.968003,97.202359,246.781617,286.084729,69
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E2-E4,73,73,100.000000,759.517893,87.668839,79.837917,165.076015,179.413877,58.469189,145.908748,201.417836,70
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,0.000000,E1-E2,73,73,100.000000,153.205619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,45.000000,E1-E2,73,73,100.000000,188.639802,21.258433,17.093418,42.941364,44.715605,28.873869,52.583498,75.524023,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,90.000000,E1-E2,73,73,100.000000,360.959220,58.921213,37.031066,158.251398,177.243654,66.601717,151.108273,296.345805,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E1-E2,73,73,100.000000,118.546909,18.105802,14.945235,34.355464,36.431070,20.586100,37.191323,48.671262,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,0.000000,E2-E3,73,73,100.000000,450.228888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,45.000000,E2-E3,73,73,100.000000,471.260154,96.821024,80.860996,172.356111,179.874292,38.349159,65.746422,87.548335,71
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,90.000000,E2-E3,73,73,100.000000,284.206129,112.671324,107.509061,166.609009,175.373916,51.026870,88.196809,115.553274,71
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E2-E3,73,73,100.000000,531.641839,97.132293,85.453873,164.714163,170.343437,39.322129,67.397658,74.329739,71
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,0.000000,E3-E4,73,73,100.000000,95.013652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,45.000000,E3-E4,73,73,100.000000,133.864411,51.777363,44.357156,96.707125,99.747278,51.286095,99.246310,149.069910,40
