case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,A_feed_only,E4-E1,100.000000,448.215413,-72.817998,-72.817998,2.490086,3.044748,54.166667,-20.704199,79.095801,65.210741,176.536421,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,90.000000,A_feed_only,E4-E1,100.000000,544.202178,-53.553240,-53.553240,3.023345,3.899179,52.777778,-34.324569,85.746001,65.630199,179.631958,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,135.000000,A_feed_only,E4-E1,100.000000,360.000000,-21.542850,-381.542850,2.179720,2.438982,63.888889,-19.679800,74.384360,60.774085,179.794826,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E1-E3,100.000000,365.731795,-176.432409,183.567591,1.706060,2.095471,73.611111,-18.873884,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E1-E3,100.000000,472.385698,-114.556830,-474.556830,2.008254,2.514261,59.722222,-24.468786,75.936126,65.358265,174.175402,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E1-E3,100.000000,437.276340,-128.363225,231.636775,2.752519,3.462291,61.111111,-30.682238,78.164101,68.607339,176.619977,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E1-E3,100.000000,360.000000,-168.552030,191.447970,1.659130,2.828525,63.888889,-32.665926,50.114829,38.775281,169.877630,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E2-E4,100.000000,493.983343,83.455948,83.455948,2.744352,3.294238,66.666667,-18.207844,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E2-E4,100.000000,360.000000,70.922053,430.922053,2.132189,2.583734,73.611111,-33.250561,68.722806,51.247308,173.365594,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E2-E4,100.000000,395.498505,41.208996,401.208996,2.409039,2.579619,58.333333,-28.751125,69.915368,59.017517,165.080956,73,73
