case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,130.000000,0.000000,A_feed_only,E1-E3,17.322602,377.322602,-10.186550,-9.477565,True,746.976978,810.506464
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,135.000000,0.000000,A_feed_only,E1-E3,7.177116,367.177116,-9.581086,-9.880617,True,800.903954,773.755730
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,140.000000,0.000000,A_feed_only,E1-E3,-6.279934,353.720066,-9.006218,-10.336320,True,855.704558,734.207322
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,145.000000,0.000000,A_feed_only,E1-E3,-22.791533,337.208467,-8.432317,-10.759516,True,914.152956,699.292601
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,150.000000,0.000000,A_feed_only,E1-E3,-41.725184,318.274816,-7.858220,-11.005197,True,976.615780,679.790140
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,155.000000,0.000000,A_feed_only,E1-E3,-61.768633,298.231367,-7.318817,-10.903281,True,1039.187428,687.813490
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,160.000000,0.000000,A_feed_only,E1-E3,-80.960749,279.039251,-6.874588,-10.375311,True,1093.717880,730.918906
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,165.000000,0.000000,A_feed_only,E1-E3,-97.534166,262.465834,-6.593714,-9.525502,True,1129.663381,806.045656
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,170.000000,0.000000,A_feed_only,E1-E3,-110.790454,249.209546,-6.541142,-8.569129,True,1136.521491,899.866883
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,175.000000,0.000000,A_feed_only,E1-E3,-121.020761,238.979239,-6.779141,-7.698682,True,1105.802830,994.719447
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,180.000000,0.000000,A_feed_only,E1-E3,-128.894322,231.105678,-7.375993,-7.028376,True,1032.369235,1074.523491
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,185.000000,0.000000,A_feed_only,E1-E3,-134.960661,225.039339,-8.419969,-6.603662,True,915.453511,1128.370270
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,190.000000,0.000000,A_feed_only,E1-E3,-139.296007,220.703993,-10.041109,-6.423462,True,759.590098,1152.024216
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,195.000000,0.000000,A_feed_only,E1-E3,-140.931179,219.068821,-12.448271,-6.455995,True,575.733063,1147.717421
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,200.000000,0.000000,A_feed_only,E1-E3,-135.925583,224.074417,-15.946336,-6.649406,True,384.873411,1122.443319
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,205.000000,0.000000,A_feed_only,E1-E3,-110.953945,249.046055,-20.072964,-6.942822,True,239.324139,1085.159625
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,210.000000,0.000000,A_feed_only,E1-E3,-66.384112,293.615888,-19.512713,-7.280706,True,255.269582,1043.757065
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,215.000000,0.000000,A_feed_only,E1-E3,-47.339582,312.660418,-15.737822,-7.627164,True,394.224530,1002.943684
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,220.000000,0.000000,A_feed_only,E1-E3,-43.105928,316.894072,-12.913679,-7.972579,True,545.695989,963.841846
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,225.000000,0.000000,A_feed_only,E1-E3,-42.935103,317.064897,-11.033570,-8.328774,True,677.573188,925.115663
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,230.000000,0.000000,A_feed_only,E1-E3,-43.449695,316.550305,-9.786896,-8.717246,True,782.149800,884.651927
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,235.000000,0.000000,A_feed_only,E1-E3,-43.364239,316.635761,-8.973278,-9.158086,True,858.955801,840.873070
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,240.000000,0.000000,A_feed_only,E1-E3,-42.045536,317.954464,-8.464825,-9.663277,True,910.738050,793.361050
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,245.000000,0.000000,A_feed_only,E1-E3,-39.077413,320.922587,-8.171169,-10.233498,True,942.055021,742.950388
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,250.000000,0.000000,A_feed_only,E1-E3,-34.112670,325.887330,-8.019079,-10.855855,True,958.695733,691.579278
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,255.000000,0.000000,A_feed_only,E1-E3,-26.846864,333.153136,-7.940619,-11.500513,True,967.394907,642.109502
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,260.000000,0.000000,A_feed_only,E1-E3,-17.074459,342.925541,-7.867848,-12.115940,True,975.533860,598.188034
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,265.000000,0.000000,A_feed_only,E1-E3,-4.815407,355.184593,-7.734599,-12.626007,True,990.614717,564.071785
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,270.000000,0.000000,A_feed_only,E1-E3,9.526504,369.526504,-7.485437,-12.937550,True,1019.442777,544.198386
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,275.000000,0.000000,A_feed_only,E1-E3,25.089023,385.089023,-7.087908,-12.967764,True,1067.184076,542.308661
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,280.000000,0.000000,A_feed_only,E1-E3,40.714724,400.714724,-6.540054,-12.683706,True,1136.663782,560.337175
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,285.000000,0.000000,A_feed_only,E1-E3,55.338532,415.338532,-5.867328,-12.121260,True,1228.197799,597.821744
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,290.000000,0.000000,A_feed_only,E1-E3,68.322791,428.322791,-5.111272,-11.363024,True,1339.896161,652.354307
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,295.000000,0.000000,A_feed_only,E1-E3,79.513427,439.513427,-4.317569,-10.497942,True,1468.102184,720.671981
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,300.000000,0.000000,A_feed_only,E1-E3,89.085245,449.085245,-3.528593,-9.594983,True,1607.700256,799.623589
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,305.000000,0.000000,A_feed_only,E1-E3,97.356411,457.356411,-2.780513,-8.697697,True,1752.302402,886.645265
