Freq_GHz,"dB(S(P2:1,P2:1))","dB(S(P4:1,P4:1))","dB(S(P3:1,P3:1))","dB(S(P1:1,P1:1))","dB(S(P2:1,P4:1))","dB(S(P2:1,P3:1))","dB(S(P2:1,P1:1))","dB(S(P4:1,P2:1))","dB(S(P4:1,P3:1))","dB(S(P4:1,P1:1))","dB(S(P3:1,P2:1))","dB(S(P3:1,P4:1))","dB(S(P3:1,P1:1))","dB(S(P1:1,P2:1))","dB(S(P1:1,P4:1))","dB(S(P1:1,P3:1))"
7.738000,-13.512078,-13.082132,-13.080922,-12.995046,-18.018497,-21.674490,-22.043063,-18.018497,-21.197742,-21.290609,-21.674490,-21.197742,-17.931805,-22.043063,-21.290609,-17.931805
7.985500,-7.316134,-7.041869,-7.113238,-7.056284,-21.589003,-22.093009,-22.370631,-21.589003,-21.666134,-21.792005,-22.093009,-21.666134,-21.533720,-22.370631,-21.792005,-21.533720
8.233000,-5.007691,-4.796161,-4.874202,-4.831556,-24.694479,-23.017115,-23.224644,-24.694479,-22.642648,-22.780100,-23.017115,-22.642648,-24.642174,-23.224644,-22.780100,-24.642174
